features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
"(0, 1, 2)",0.7383333333333333,0.7370459401709402,0.7383333333333333,0.7375116713352007,0.734322469586734,0.013957650706055381
"(0, 1, 3)",0.7266666666666667,0.7263405733180435,0.7266666666666667,0.726233908592211,0.7371049834068157,0.013178993596638811
"(0, 1, 4)",0.735,0.7346123349450089,0.735,0.7347470809459115,0.7362295159545189,0.01351641547595362
"(0, 1, 5)",0.7233333333333334,0.7239316239316239,0.7233333333333334,0.7234125758979107,0.7357039477619455,0.012954806956706007
"(0, 1, 6)",0.7366666666666667,0.7357661080078217,0.7366666666666667,0.7360568574557182,0.7340306710794011,0.014097611196821928
"(0, 1, 7)",0.7333333333333333,0.7322566148857228,0.7333333333333333,0.7323883797966994,0.7351202068866824,0.01213636027315977
"(0, 1, 8)",0.7366666666666667,0.7360792622987674,0.7366666666666667,0.7360422651090606,0.7341086321658666,0.015137242273594486
"(0, 1, 9)",0.7383333333333333,0.7378680219752314,0.7383333333333333,0.73782418947342,0.7310536842320456,0.013718721627016902
"(0, 1, 10)",0.7483333333333333,0.7479191210740945,0.7483333333333333,0.7480654498198358,0.7339915826407203,0.011450495648314239
"(0, 1, 11)",0.7233333333333334,0.7224139089423653,0.7233333333333334,0.7224274558641313,0.6990861293397631,0.03909356734498338
"(0, 2, 3)",0.7066666666666667,0.7111956922252369,0.7066666666666667,0.7082911983846878,0.7214024591076252,0.01486777870702833
"(0, 2, 4)",0.715,0.7183427990857338,0.715,0.7165048555019881,0.7244963894775817,0.015169326784515675
"(0, 2, 5)",0.7033333333333334,0.7049169687009897,0.7033333333333334,0.7040559919497741,0.719767952856125,0.01295748306250591
"(0, 2, 6)",0.7133333333333334,0.7148422687010089,0.7133333333333334,0.7138782393982975,0.7149423270435966,0.014572332235079914
"(0, 2, 7)",0.7083333333333334,0.708049301376279,0.7083333333333334,0.7078298221173943,0.7162849628574652,0.012765605896152603
"(0, 2, 8)",0.7066666666666667,0.7073165190585211,0.7066666666666667,0.706514660188242,0.7200406557620334,0.01588814814546808
"(0, 2, 9)",0.7016666666666667,0.7016053873849223,0.7016666666666667,0.7013816777008397,0.7158375828996694,0.013256739849325799
"(0, 2, 10)",0.7166666666666667,0.7179091098603294,0.7166666666666667,0.7172063343230713,0.7154677210891307,0.011703138580533965
"(0, 2, 11)",0.7216666666666667,0.7250968416495092,0.7216666666666667,0.72274029571078,0.6789085788617295,0.043665447687468044
"(0, 3, 4)",0.7066666666666667,0.707368864682617,0.7066666666666667,0.706709049989322,0.7234652194290552,0.016231682794627243
"(0, 3, 5)",0.7033333333333334,0.701731974748479,0.7033333333333334,0.7020787153724364,0.7228230522221541,0.01464555472428963
"(0, 3, 6)",0.7166666666666667,0.7186462842712842,0.7166666666666667,0.7173918789234042,0.7142614764791708,0.014546991325365211
