features,RF_acc,RF_pre,RF_rec,RF_f1,RF_acc_cv,RF_acc_cv_std
"[0, 1, 2, 3, 5, 6, 10, 11]",0.735,0.7420992630224728,0.735,0.7377859406714844,0.7501239245473881,0.036232122627965574
"[0, 1, 2, 3, 4, 6, 10, 11]",0.75,0.7578296703296704,0.75,0.7530371166046123,0.7496958824825493,0.03750620287057545
"[0, 1, 2, 3, 4, 9, 10, 11]",0.74,0.7449573130687682,0.74,0.7420105764106479,0.7488007932019052,0.03747334848041006
"[0, 1, 2, 3, 5, 9, 10, 11]",0.7266666666666667,0.7353688628195986,0.7266666666666667,0.7299612081143076,0.7501434706596312,0.03599859616843968
"[0, 1, 3, 4, 5, 6, 9, 11]",0.7283333333333334,0.735108084403859,0.7283333333333334,0.7308128008929617,0.7495793137546631,0.03950958152718268
"[0, 1, 3, 4, 6, 9, 10, 11]",0.7483333333333333,0.7554386876261219,0.7483333333333333,0.7511048952554572,0.7451428232869421,0.037465112907836495
"[0, 1, 3, 4, 8, 9, 10, 11]",0.7366666666666667,0.7409027577206551,0.7366666666666667,0.7383944731647208,0.7454541451916866,0.037598948336864384
"[0, 1, 2, 6, 8, 9, 10, 11]",0.7266666666666667,0.7323937177595714,0.7266666666666667,0.7289193392174422,0.7421851667609333,0.035911194668388734
"[0, 1, 2, 3, 5, 8, 10, 11]",0.735,0.7406221476737572,0.735,0.737211224826097,0.7482949869124714,0.03616669109792471
"[0, 1, 3, 4, 5, 6, 10, 11]",0.7433333333333333,0.7504426129426129,0.7433333333333333,0.7460160848913694,0.7487036191540544,0.038160300739026036
