features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
"(0, 1)",0.7383333333333333,0.736858813700919,0.7383333333333333,0.7373191578069628,0.7314234211110127,0.013011310263984926
"(0, 2)",0.6983333333333334,0.7000451749565466,0.6983333333333334,0.6989830626179,0.7136387796684088,0.01275490872317607
"(0, 3)",0.7283333333333334,0.7291420787056027,0.7283333333333334,0.7281064130375328,0.7098832798399057,0.011764059838674028
"(0, 4)",0.715,0.7129545630533928,0.715,0.7138378597278678,0.7111286999620662,0.011510968344461527
"(0, 5)",0.6916666666666667,0.6901549046401598,0.6916666666666667,0.6907210102331157,0.7157790089216285,0.012311624006131689
"(0, 6)",0.7166666666666667,0.7172074792375545,0.7166666666666667,0.7167557993561523,0.6975081224450548,0.010317084000445561
"(0, 7)",0.7033333333333334,0.7040348879309156,0.7033333333333334,0.7034203391400956,0.7016525721139103,0.009052822446310194
"(0, 8)",0.7,0.6988293149686254,0.7,0.6992643448165392,0.698811775822788,0.010267158625708076
"(0, 9)",0.6983333333333334,0.6985711309449404,0.6983333333333334,0.6984490319731165,0.6961654109150822,0.009725670751987839
"(0, 10)",0.71,0.7079908103592315,0.71,0.7087273295809882,0.6964960025682903,0.007448599369058866
"(0, 11)",0.7133333333333334,0.7154208397455795,0.7133333333333334,0.7140140601686521,0.6639455056056418,0.04494052130671629
"(1, 2)",0.65,0.6441798941798942,0.65,0.6456339869281046,0.6591753569825012,0.012915724372824705
"(1, 3)",0.6633333333333333,0.6573467880561178,0.6633333333333333,0.6581086725634602,0.6591171199411232,0.0076478581351626974
"(1, 4)",0.665,0.6612096482099732,0.665,0.662131717475205,0.66732855413285,0.01049092583023085
"(1, 5)",0.665,0.6612157809983897,0.665,0.6624893162393162,0.6550893260736733,0.010110879524804408
"(1, 6)",0.67,0.6666133436912787,0.67,0.6661457659059496,0.651062077362172,0.014424870171888217
"(1, 7)",0.675,0.6657534156929686,0.675,0.6672661341725291,0.6553422860054682,0.00989788287732626
