features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
"(0, 1)",0.7283333333333334,0.7237398843663294,0.7283333333333334,0.7250602837673531,0.7182892741324258,0.011718487066544454
"(0, 2)",0.6933333333333334,0.6920444279690948,0.6933333333333334,0.6924197384497278,0.6976635297484786,0.008469214531842852
"(0, 3)",0.7133333333333334,0.7109605917116472,0.7133333333333334,0.7114168627504012,0.6977023872530423,0.007190293760786176
"(0, 4)",0.6983333333333334,0.6957582274559869,0.6983333333333334,0.6963414231021199,0.6150599671543542,0.08754321104597279
"(0, 5)",0.695,0.6927091673196334,0.695,0.6934463685569564,0.6611389064928831,0.0676962703640723
"(0, 6)",0.72,0.7200109458181998,0.72,0.7199965086846469,0.6783797094470225,0.051115065381051
"(0, 7)",0.58,0.6017181544063265,0.58,0.4740324273621865,0.6387842681622112,0.08550417445953343
"(0, 8)",0.6983333333333334,0.6989482737807822,0.6983333333333334,0.6979679885694924,0.6768038869619141,0.03701399584764455
"(0, 9)",0.6966666666666667,0.6966935890816038,0.6966666666666667,0.6960103617715877,0.667969578026581,0.07443586854614236
"(0, 10)",0.57,0.5342287449223865,0.57,0.503215710052975,0.6707711950196976,0.04233902444770407
"(0, 11)",0.715,0.7144708905574809,0.715,0.7144219755176758,0.6863017339744972,0.03204108438895613
"(1, 2)",0.6516666666666666,0.6413253055035233,0.6516666666666666,0.640499037380149,0.6488046887954553,0.012666418207187927
"(1, 3)",0.6666666666666666,0.6625752378209446,0.6666666666666666,0.6619324258945254,0.6478703823587535,0.005632102642138799
"(1, 4)",0.6,0.678,0.6,0.6066666666666667,0.6525990915581844,0.012163132766242554
"(1, 5)",0.6583333333333333,0.653816172593255,0.6583333333333333,0.6553497002113681,0.6481428126866875,0.007815933812940918
"(1, 6)",0.65,0.6439405523351382,0.65,0.6452231985404606,0.6428119068116479,0.012833907507875192
"(1, 7)",0.6516666666666666,0.685948157041779,0.6516666666666666,0.6602761326582516,0.6480845983601407,0.010574067057497897
"(1, 8)",0.6416666666666667,0.634347732645605,0.6416666666666667,0.6352500918490526,0.6320710058051537,0.014164229034084614
"(1, 9)",0.6283333333333333,0.6264871648533311,0.6283333333333333,0.6265839097527914,0.6108609981048259,0.037108158743762776
"(1, 10)",0.6866666666666666,0.698505403835277,0.6866666666666666,0.6901402624313517,0.631173868403897,0.058092518753921
"(1, 11)",0.5083333333333333,0.6614643310347319,0.5083333333333333,0.4940699629378792,0.6229671891835002,0.04666365261387949
"(2, 3)",0.5,0.4850010385130713,0.5,0.48422722794582096,0.5008079779030121,0.006714218398237412
"(2, 4)",0.5066666666666667,0.5122039925822804,0.5066666666666667,0.4874708727928269,0.48463815652487313,0.007269398752955502
"(2, 5)",0.49833333333333335,0.5066934727132916,0.49833333333333335,0.490925813195911,0.4683118488888283,0.02377780196606388
"(2, 6)",0.5,0.4985240044383739,0.5,0.4913617457764648,0.43998064696382205,0.049455516032534605
"(2, 7)",0.45666666666666667,0.5015356285554569,0.45666666666666667,0.43608843856521873,0.4715821826378431,0.016545518682203227
"(2, 8)",0.39,0.2526854219948849,0.39,0.30511140235910883,0.41180688153382655,0.05521956012685012
"(2, 9)",0.44,0.5096346686822877,0.44,0.4076131392666826,0.3962784512725227,0.06446292452042081
"(2, 10)",0.5033333333333333,0.5408481389425881,0.5033333333333333,0.506527117102148,0.4616018688248785,0.03917997650614389
"(2, 11)",0.51,0.49857935441418544,0.51,0.4965865604527708,0.46557197837850933,0.0494446142694028
"(3, 4)",0.5116666666666667,0.5040440437961426,0.5116666666666667,0.5003638788110872,0.5105563013591797,0.007214119312108258
"(3, 5)",0.475,0.4671305956075973,0.475,0.4683197905318355,0.4647124680951267,0.0374253695914941
"(3, 6)",0.4666666666666667,0.4501002203973135,0.4666666666666667,0.45270449168593074,0.4814862541199025,0.010092363564007289
"(3, 7)",0.40166666666666667,0.2739408401242628,0.40166666666666667,0.3247389261277481,0.45841035554010945,0.04698499612476907
"(3, 8)",0.4716666666666667,0.4527390605177294,0.4716666666666667,0.4543919479769998,0.42573919739415456,0.062286676801516803
"(3, 9)",0.4766666666666667,0.46059946990179546,0.4766666666666667,0.46020859572054607,0.4574745574961593,0.033424064596406185
"(3, 10)",0.5033333333333333,0.5185199650058672,0.5033333333333333,0.504684407108466,0.48072777940567396,0.016418128036668575
"(3, 11)",0.5216666666666666,0.5067122892923214,0.5216666666666666,0.5103324631573172,0.4861373240263099,0.033174756271644054
"(4, 5)",0.5033333333333333,0.5239896456094876,0.5033333333333333,0.49683110014931325,0.4744995998403905,0.023422896323492575
"(4, 6)",0.36666666666666664,0.361480419657344,0.36666666666666664,0.3289707781106555,0.472438047190819,0.011389826515095697
"(4, 7)",0.48833333333333334,0.5135422114455063,0.48833333333333334,0.4722492435404462,0.4473759221275014,0.03893116071615437
"(4, 8)",0.36666666666666664,0.3620866487838965,0.36666666666666664,0.34245922220305525,0.42885053489641667,0.04567606742758483
"(4, 9)",0.45166666666666666,0.40393003454948323,0.45166666666666666,0.3875190942190211,0.42935656454835724,0.04964538601057308
"(4, 10)",0.4633333333333333,0.3441826748822037,0.4633333333333333,0.3692397277723187,0.4728074357757078,0.014763879963122775
"(4, 11)",0.5183333333333333,0.5100615646592658,0.5183333333333333,0.5068914880406773,0.44874357832793105,0.07075320419167289
"(5, 6)",0.415,0.39252797841843695,0.415,0.3817907110207369,0.4197069294621204,0.0073057786545432475
"(5, 7)",0.41,0.411492732469744,0.41,0.39367735697046946,0.41491899134034915,0.032701040389813
"(5, 8)",0.43666666666666665,0.42295757714869514,0.43666666666666665,0.412020199045225,0.39604650255958285,0.010074624146617204
"(5, 9)",0.4083333333333333,0.3754761772214313,0.4083333333333333,0.36734850097660077,0.4013765566284528,0.026294668228335424
"(5, 10)",0.46166666666666667,0.340749297622613,0.46166666666666667,0.368154447626373,0.4441072124889171,0.004258051288787772
"(5, 11)",0.4766666666666667,0.45987117441310715,0.4766666666666667,0.4549346438527582,0.43435748071321545,0.047230526486686894
"(6, 7)",0.41333333333333333,0.3982496194824962,0.41333333333333333,0.38401843831522425,0.41379213506541496,0.015278451644056288
"(6, 8)",0.385,0.357339646330472,0.385,0.3381526440901296,0.39931594285857064,0.029695757833052068
"(6, 9)",0.42,0.41016869323239397,0.42,0.4059036272736943,0.42328742287368365,0.009605900362256661
"(6, 10)",0.3333333333333333,0.11111111111111109,0.3333333333333333,0.16666666666666666,0.4395347018261967,0.007153732191817173
"(6, 11)",0.465,0.45694006926167297,0.465,0.4295884591187465,0.4199413540916604,0.0304151300573696
"(7, 8)",0.38666666666666666,0.3835870530548402,0.38666666666666666,0.3581657008505299,0.40583302100440444,0.009272964443004605
"(7, 9)",0.38666666666666666,0.37856297041903103,0.38666666666666666,0.3581537745597786,0.4074090668520197,0.00898800281031687
"(7, 10)",0.46166666666666667,0.340749297622613,0.46166666666666667,0.368154447626373,0.4441072124889171,0.004258051288787772
"(7, 11)",0.4666666666666667,0.4537576006012161,0.4666666666666667,0.43642847890151887,0.4332307455840475,0.04439848080377989
"(8, 9)",0.3616666666666667,0.39190447770094955,0.3616666666666667,0.2899443803833726,0.3547179347978342,0.005356333502325218
"(8, 10)",0.46166666666666667,0.340749297622613,0.46166666666666667,0.368154447626373,0.4441072124889171,0.004258051288787772
"(8, 11)",0.36,0.4422886497571666,0.36,0.2667437761621503,0.4139658770234182,0.03694410273366029
"(9, 10)",0.3433333333333333,0.2720719363022129,0.3433333333333333,0.20019507015022708,0.367206685277685,0.03509554496162044
"(9, 11)",0.4166666666666667,0.38539303696536403,0.4166666666666667,0.3772733093617309,0.4094554649233791,0.07797018012668701
"(10, 11)",0.48833333333333334,0.4896856789862744,0.48833333333333334,0.4747275987616247,0.42791729227097586,0.04365066660035615
