features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
"[0, 1, 2, 3, 5, 6, 8, 10, 11]",0.7416666666666667,0.7401294903926483,0.7416666666666667,0.7406160100062539,0.7109164185071358,0.040027263533924204
"[0, 1, 2, 3, 4, 6, 9, 10, 11]",0.7433333333333333,0.7422759314248008,0.7433333333333333,0.7425970473978636,0.7091457519858442,0.03870454025405423
"[0, 1, 2, 3, 4, 5, 6, 9, 11]",0.74,0.7379034543928538,0.74,0.7385790713390518,0.7102548074047321,0.03798945322990112
"[0, 1, 3, 4, 6, 7, 9, 10, 11]",0.7283333333333334,0.7271772087473822,0.7283333333333334,0.7276215215909873,0.7131150703061884,0.03749083203867382
"[0, 1, 3, 4, 5, 8, 9, 10, 11]",0.7383333333333333,0.7350907309042221,0.7383333333333333,0.7362832505225947,0.7113250280338874,0.03878202548250308
"[0, 1, 3, 4, 5, 6, 9, 10, 11]",0.7483333333333333,0.7462571653990796,0.7483333333333333,0.7470020477725056,0.7117920752496928,0.03876776060681485
"[0, 1, 3, 4, 5, 6, 8, 10, 11]",0.7433333333333333,0.7413619732027692,0.7433333333333333,0.7420355208494741,0.7117530776703366,0.04031630870611699
"[0, 1, 3, 4, 6, 7, 8, 10, 11]",0.7316666666666667,0.7291570110454034,0.7316666666666667,0.7300076129659329,0.7115779766082668,0.03962245763671829
"[0, 1, 3, 4, 5, 6, 7, 8, 11]",0.735,0.7327522161164715,0.735,0.7334411122707936,0.7121422357299751,0.03932856021221258
"[0, 1, 3, 5, 6, 8, 9, 10, 11]",0.7366666666666667,0.7353808851454147,0.7366666666666667,0.7357673079836389,0.711286193244155,0.04032343699553434
