Features,Accuracy,Precision,Recall,F1-score,CV_Accuracy,CV_Accuracy_std,Model
FPG,0.6983333333333334,0.6976481230212573,0.6983333333333334,0.6979828485737081,0.6949589618716414,0.009401744881628109,RF
FPG,0.6983333333333334,0.6983541000678098,0.6983333333333334,0.6973464409706126,0.6303552296734439,0.05587707453732094,SVM
FPG,0.6983333333333334,0.6976481230212573,0.6983333333333334,0.6979828485737081,0.6948032895618537,0.009328137457802208,XGB
HbA1c,0.6416666666666667,0.6285068286833948,0.6416666666666667,0.6272333296915401,0.6299694106939909,0.01000239380244501,XGB
HbA1c,0.6283333333333333,0.6211968920747737,0.6283333333333333,0.6237097366384705,0.6295609942433047,0.01249356257082078,SVM
HbA1c,0.6166666666666667,0.6145029429765242,0.6166666666666667,0.6149187063268209,0.6344253904868773,0.00971516968224167,RF
r-GTP gamma,0.54,0.5364494318395028,0.54,0.536213424400491,0.5082214135742316,0.0064163891237003405,XGB
r-GTP gamma,0.5283333333333333,0.5248307432234524,0.5283333333333333,0.5262404247820094,0.5189035513124252,0.005403937976446081,RF
Triglyceride,0.4766666666666667,0.4715732582432554,0.4766666666666667,0.4734882207780872,0.4960799955781795,0.010817228860079256,XGB
BMI,0.475,0.4603967763984742,0.475,0.4646157467613759,0.484911135794561,0.009646283031743023,XGB
Triglyceride,0.4683333333333333,0.4682472198195469,0.4683333333333333,0.4396638844515998,0.4598097292164973,0.007070837863922461,SVM
r-GTP gamma,0.4666666666666667,0.4883325265077341,0.4666666666666667,0.4304027988657518,0.4590119578443019,0.007521804780192681,SVM
BMI,0.4666666666666667,0.4490182689427973,0.4666666666666667,0.44914576986960936,0.4751822373048702,0.010442547588665056,SVM
BMI,0.4633333333333333,0.4531763243421737,0.4633333333333333,0.4559252054732257,0.4962938746429039,0.010255157249042869,RF
SEX,0.4616666666666666,0.340749297622613,0.4616666666666666,0.368154447626373,0.4441072124889171,0.004258051288787772,XGB
SEX,0.4616666666666666,0.340749297622613,0.4616666666666666,0.368154447626373,0.4441072124889171,0.004258051288787772,RF
Triglyceride,0.44666666666666666,0.4366234193381339,0.44666666666666666,0.4385510552279218,0.5297419708750433,0.01075258321379693,RF
AGE,0.43,0.4308059950549179,0.43,0.3942361930810379,0.3847814000361923,0.031184326623372213,RF
AGE,0.4266666666666667,0.4054262451209016,0.4266666666666667,0.3934639625553293,0.40986117830915336,0.0381914202947283,SVM
Smoking,0.4233333333333333,0.4172291050807673,0.4233333333333333,0.4130283110342931,0.41820907563508775,0.01217172091416804,XGB
