0,1,2,3,4,5,6,7,8
0.71,0.23,0.0,0.26,0.6,0.1,0.01,0.16,0.88
0.7,0.25,0.0,0.27,0.62,0.12,0.01,0.11,0.87
0.72,0.25,0.0,0.25,0.61,0.12,0.01,0.12,0.86
0.72,0.23,0.0,0.25,0.62,0.08,0.01,0.13,0.91
0.72,0.25,0.0,0.25,0.63,0.12,0.01,0.11,0.87
0.72,0.25,0.0,0.25,0.62,0.12,0.01,0.11,0.87
0.71,0.24,0.0,0.26,0.61,0.09,0.01,0.14,0.9
0.72,0.25,0.0,0.25,0.63,0.12,0.01,0.11,0.87
0.72,0.13,0.01,0.25,0.41,0.19,0.01,0.45,0.79
0.72,0.23,0.0,0.26,0.61,0.08,0.01,0.15,0.91
0.72,0.25,0.0,0.25,0.63,0.12,0.01,0.11,0.87
0.73,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.87
0.71,0.24,0.0,0.26,0.6,0.08,0.01,0.15,0.91
0.71,0.26,0.0,0.26,0.63,0.12,0.01,0.1,0.87
0.72,0.26,0.0,0.26,0.61,0.12,0.01,0.12,0.86
0.71,0.24,0.0,0.26,0.6,0.1,0.01,0.15,0.89
0.72,0.24,0.0,0.26,0.62,0.13,0.01,0.12,0.87
0.73,0.26,0.0,0.25,0.62,0.14,0.01,0.11,0.84
0.71,0.24,0.0,0.27,0.59,0.08,0.01,0.16,0.9
0.72,0.24,0.0,0.25,0.63,0.13,0.01,0.11,0.86
0.72,0.26,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.7,0.24,0.0,0.27,0.59,0.09,0.01,0.15,0.9
0.72,0.24,0.0,0.25,0.64,0.12,0.01,0.11,0.87
0.72,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.7,0.25,0.0,0.27,0.6,0.09,0.01,0.14,0.9
0.72,0.24,0.0,0.25,0.64,0.12,0.01,0.11,0.87
0.72,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.7,0.24,0.0,0.27,0.6,0.07,0.01,0.14,0.92
0.73,0.25,0.0,0.25,0.63,0.12,0.01,0.11,0.87
0.74,0.25,0.0,0.24,0.63,0.14,0.01,0.1,0.85
0.7,0.24,0.0,0.27,0.6,0.09,0.01,0.15,0.9
0.72,0.25,0.0,0.25,0.63,0.11,0.01,0.1,0.87
0.73,0.26,0.0,0.25,0.62,0.13,0.01,0.12,0.86
0.71,0.23,0.0,0.26,0.6,0.1,0.01,0.16,0.89
0.71,0.25,0.0,0.26,0.63,0.12,0.01,0.11,0.87
0.73,0.25,0.0,0.25,0.61,0.11,0.01,0.13,0.88
0.72,0.24,0.0,0.26,0.6,0.08,0.01,0.15,0.91
0.72,0.24,0.0,0.25,0.64,0.12,0.01,0.1,0.87
0.73,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.71,0.25,0.0,0.26,0.61,0.09,0.01,0.12,0.9
0.73,0.25,0.0,0.25,0.63,0.12,0.01,0.1,0.87
0.72,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.87
0.7,0.24,0.0,0.27,0.6,0.09,0.01,0.14,0.9
0.72,0.25,0.0,0.25,0.63,0.12,0.01,0.1,0.87
0.72,0.25,0.0,0.25,0.62,0.11,0.01,0.12,0.88
0.7,0.25,0.0,0.27,0.6,0.08,0.01,0.14,0.91
0.72,0.24,0.0,0.25,0.64,0.12,0.01,0.11,0.87
0.72,0.26,0.0,0.25,0.62,0.13,0.01,0.11,0.85
0.7,0.24,0.0,0.27,0.59,0.08,0.01,0.15,0.91
0.72,0.24,0.0,0.25,0.64,0.12,0.01,0.11,0.87
0.74,0.24,0.0,0.24,0.63,0.13,0.01,0.12,0.86
0.72,0.23,0.0,0.25,0.61,0.09,0.01,0.15,0.9
0.72,0.24,0.0,0.25,0.64,0.12,0.01,0.11,0.87
0.73,0.25,0.0,0.24,0.62,0.12,0.01,0.12,0.86
0.71,0.23,0.0,0.26,0.61,0.08,0.01,0.14,0.91
0.72,0.24,0.0,0.25,0.64,0.12,0.01,0.11,0.87
0.73,0.25,0.0,0.24,0.62,0.12,0.01,0.12,0.86
0.71,0.24,0.0,0.27,0.61,0.09,0.01,0.14,0.9
0.73,0.25,0.0,0.25,0.63,0.12,0.01,0.1,0.87
0.72,0.25,0.0,0.25,0.62,0.12,0.01,0.11,0.86
0.71,0.24,0.0,0.26,0.6,0.09,0.01,0.14,0.89
0.72,0.24,0.0,0.25,0.64,0.12,0.01,0.11,0.87
0.73,0.25,0.0,0.24,0.62,0.12,0.01,0.12,0.86
0.72,0.24,0.0,0.25,0.61,0.11,0.01,0.14,0.88
0.72,0.24,0.0,0.25,0.63,0.12,0.01,0.11,0.87
0.72,0.26,0.0,0.25,0.62,0.12,0.01,0.11,0.86
0.72,0.24,0.0,0.25,0.62,0.1,0.01,0.12,0.9
0.73,0.24,0.0,0.24,0.62,0.12,0.01,0.13,0.87
0.66,0.2,0.0,0.32,0.51,0.22,0.01,0.28,0.76
0.72,0.24,0.0,0.25,0.62,0.08,0.01,0.13,0.91
0.73,0.25,0.0,0.24,0.62,0.12,0.01,0.11,0.87
0.74,0.23,0.0,0.24,0.61,0.1,0.01,0.14,0.89
0.72,0.24,0.0,0.26,0.62,0.08,0.01,0.13,0.91
0.72,0.25,0.0,0.26,0.61,0.11,0.01,0.13,0.88
0.74,0.27,0.0,0.24,0.6,0.11,0.01,0.11,0.88
0.71,0.24,0.0,0.26,0.6,0.1,0.01,0.14,0.89
0.72,0.24,0.0,0.25,0.62,0.12,0.01,0.13,0.87
0.63,0.15,0.04,0.35,0.5,0.26,0.01,0.33,0.68
0.72,0.25,0.0,0.26,0.6,0.09,0.01,0.14,0.9
0.73,0.25,0.0,0.25,0.61,0.12,0.01,0.12,0.87
0.74,0.22,0.0,0.24,0.63,0.11,0.01,0.14,0.88
0.72,0.24,0.0,0.25,0.62,0.1,0.01,0.12,0.9
0.73,0.24,0.0,0.24,0.62,0.12,0.01,0.13,0.87
0.66,0.2,0.0,0.32,0.51,0.22,0.01,0.28,0.76
0.72,0.24,0.0,0.25,0.62,0.08,0.01,0.13,0.91
0.73,0.25,0.0,0.24,0.62,0.12,0.01,0.11,0.87
0.74,0.23,0.0,0.24,0.61,0.1,0.01,0.14,0.89
0.72,0.24,0.0,0.26,0.62,0.08,0.01,0.13,0.91
0.72,0.25,0.0,0.26,0.61,0.11,0.01,0.13,0.88
0.74,0.27,0.0,0.24,0.6,0.11,0.01,0.11,0.88
0.71,0.24,0.0,0.26,0.6,0.1,0.01,0.14,0.89
0.72,0.24,0.0,0.25,0.62,0.12,0.01,0.13,0.87
0.63,0.15,0.04,0.35,0.5,0.26,0.01,0.33,0.68
0.72,0.25,0.0,0.26,0.6,0.09,0.01,0.14,0.9
0.73,0.25,0.0,0.25,0.61,0.12,0.01,0.12,0.87
0.74,0.22,0.0,0.24,0.63,0.11,0.01,0.14,0.88
