0,1,2,3,4,5,6,7,8
0.75,0.24,0.0,0.28,0.62,0.1,0.01,0.16,0.82
0.75,0.24,0.0,0.29,0.58,0.12,0.02,0.11,0.87
0.74,0.25,0.0,0.26,0.61,0.12,0.01,0.12,0.86
0.75,0.25,0.0,0.27,0.65,0.07,0.02,0.14,0.83
0.76,0.24,0.0,0.27,0.6,0.13,0.02,0.1,0.87
0.74,0.25,0.0,0.26,0.62,0.12,0.02,0.11,0.86
0.74,0.25,0.0,0.27,0.64,0.09,0.02,0.15,0.83
0.76,0.23,0.0,0.27,0.59,0.13,0.02,0.1,0.87
0.78,0.21,0.0,0.28,0.66,0.06,0.02,0.73,0.24
0.75,0.25,0.0,0.27,0.65,0.07,0.01,0.16,0.82
0.75,0.24,0.0,0.27,0.6,0.12,0.02,0.1,0.87
0.74,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.74,0.26,0.0,0.27,0.64,0.08,0.02,0.16,0.82
0.75,0.24,0.0,0.28,0.59,0.12,0.02,0.1,0.88
0.73,0.26,0.0,0.26,0.61,0.12,0.01,0.12,0.86
0.74,0.25,0.0,0.28,0.62,0.09,0.02,0.16,0.81
0.76,0.23,0.0,0.27,0.59,0.13,0.01,0.11,0.87
0.74,0.25,0.0,0.25,0.59,0.15,0.02,0.1,0.87
0.74,0.25,0.0,0.28,0.63,0.08,0.01,0.17,0.81
0.76,0.23,0.0,0.27,0.59,0.13,0.02,0.11,0.87
0.73,0.26,0.0,0.25,0.62,0.12,0.02,0.12,0.86
0.73,0.26,0.0,0.28,0.63,0.08,0.02,0.16,0.81
0.76,0.23,0.0,0.26,0.61,0.12,0.02,0.1,0.87
0.74,0.25,0.0,0.26,0.61,0.12,0.01,0.12,0.86
0.74,0.26,0.0,0.28,0.63,0.08,0.02,0.15,0.83
0.76,0.23,0.0,0.27,0.6,0.12,0.02,0.1,0.87
0.74,0.25,0.0,0.26,0.61,0.12,0.02,0.12,0.86
0.74,0.26,0.0,0.28,0.64,0.07,0.02,0.15,0.82
0.76,0.24,0.0,0.26,0.6,0.13,0.01,0.11,0.87
0.75,0.24,0.0,0.24,0.6,0.15,0.01,0.1,0.88
0.74,0.26,0.0,0.28,0.63,0.08,0.02,0.16,0.82
0.75,0.24,0.0,0.27,0.61,0.11,0.02,0.1,0.87
0.73,0.26,0.0,0.25,0.62,0.13,0.01,0.12,0.86
0.76,0.24,0.0,0.28,0.62,0.09,0.02,0.16,0.81
0.76,0.23,0.0,0.28,0.59,0.12,0.02,0.1,0.87
0.74,0.26,0.0,0.25,0.63,0.11,0.01,0.13,0.85
0.74,0.26,0.0,0.27,0.65,0.08,0.01,0.16,0.82
0.77,0.23,0.0,0.26,0.61,0.12,0.02,0.1,0.88
0.74,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.74,0.26,0.0,0.28,0.63,0.09,0.02,0.13,0.85
0.76,0.24,0.0,0.26,0.61,0.12,0.01,0.1,0.88
0.74,0.25,0.0,0.26,0.62,0.12,0.02,0.12,0.86
0.74,0.25,0.0,0.28,0.63,0.08,0.02,0.15,0.83
0.76,0.24,0.0,0.27,0.61,0.12,0.02,0.1,0.87
0.74,0.25,0.0,0.26,0.63,0.11,0.02,0.12,0.85
0.74,0.26,0.0,0.29,0.62,0.08,0.02,0.15,0.82
0.76,0.23,0.0,0.27,0.6,0.12,0.02,0.1,0.87
0.73,0.26,0.0,0.25,0.6,0.14,0.02,0.11,0.87
0.74,0.26,0.0,0.29,0.62,0.08,0.02,0.16,0.81
0.76,0.23,0.0,0.27,0.6,0.12,0.02,0.1,0.87
0.75,0.24,0.0,0.24,0.62,0.13,0.01,0.12,0.86
0.75,0.25,0.0,0.26,0.65,0.09,0.02,0.16,0.81
0.77,0.23,0.0,0.27,0.6,0.12,0.02,0.1,0.87
0.74,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.75,0.25,0.0,0.27,0.64,0.08,0.02,0.15,0.82
0.76,0.23,0.0,0.27,0.6,0.12,0.01,0.1,0.88
0.74,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.75,0.25,0.0,0.28,0.63,0.08,0.02,0.15,0.83
0.76,0.24,0.0,0.26,0.61,0.12,0.01,0.1,0.88
0.74,0.25,0.0,0.26,0.61,0.12,0.02,0.11,0.86
0.73,0.26,0.0,0.27,0.63,0.09,0.02,0.15,0.82
0.77,0.23,0.0,0.27,0.6,0.12,0.02,0.1,0.87
0.74,0.25,0.0,0.25,0.62,0.12,0.01,0.12,0.86
0.75,0.25,0.0,0.26,0.63,0.1,0.02,0.15,0.82
0.76,0.23,0.0,0.26,0.61,0.12,0.02,0.11,0.87
0.74,0.25,0.0,0.26,0.61,0.12,0.02,0.11,0.86
0.75,0.25,0.0,0.26,0.64,0.09,0.01,0.13,0.85
0.75,0.24,0.0,0.25,0.62,0.12,0.01,0.13,0.85
0.85,0.13,0.01,0.42,0.34,0.24,0.02,0.18,0.79
0.74,0.25,0.0,0.26,0.65,0.08,0.01,0.14,0.84
0.74,0.25,0.0,0.25,0.63,0.12,0.01,0.12,0.86
