features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
0.0,0.6983333333333334,0.6976481230212573,0.6983333333333334,0.6979828485737081,0.6948032895618537,0.009328137457802208
1.0,0.6416666666666667,0.6285068286833948,0.6416666666666667,0.6272333296915401,0.629969410693991,0.01000239380244501
2.0,0.4766666666666667,0.47157325824325547,0.4766666666666667,0.4734882207780872,0.4960799955781795,0.010817228860079256
3.0,0.475,0.4603967763984742,0.475,0.46461574676137585,0.48491113579456097,0.009646283031743025
4.0,0.54,0.5364494318395028,0.54,0.536213424400491,0.5082214135742316,0.006416389123700341
5.0,0.4116666666666667,0.40768587787234994,0.4116666666666667,0.40642459305446893,0.41606838451363376,0.005411221331198789
6.0,0.42333333333333334,0.41722910508076744,0.42333333333333334,0.4130283110342931,0.41820907563508775,0.012171720914168039
7.0,0.405,0.4370350989398609,0.405,0.32723579885130777,0.40742883254096424,0.007203773183597773
8.0,0.4066666666666667,0.40421102680135607,0.4066666666666667,0.38836444653809216,0.37125740598142076,0.012319114244532789
9.0,0.35333333333333333,0.2502642491259452,0.35333333333333333,0.25282828862247203,0.3533360174692195,0.0024434544917219044
10.0,0.46166666666666667,0.340749297622613,0.46166666666666667,0.368154447626373,0.4441072124889171,0.004258051288787772
11.0,0.42,0.4010030005024148,0.42,0.36919328485914255,0.3859086008193997,0.038362319370947924
