features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
"[0, 1, 3, 5, 6, 10, 11]",0.7416666666666667,0.7385009984163052,0.7416666666666667,0.739771130634977,0.7195160378065651,0.028333941656661452
"[0, 1, 3, 4, 5, 10, 11]",0.74,0.738138549419097,0.74,0.7388814133479553,0.718387530920564,0.028270343030798895
"[0, 1, 2, 3, 4, 10, 11]",0.7416666666666667,0.7401725520945994,0.7416666666666667,0.7407593666054656,0.6941998359989187,0.07137366232855176
"[0, 1, 2, 3, 5, 10, 11]",0.7383333333333333,0.7353343077063209,0.7383333333333333,0.7365233191120935,0.7178815618415065,0.028069724590709517
"[0, 1, 3, 6, 8, 10, 11]",0.7383333333333333,0.7360638394253165,0.7383333333333333,0.7369764982668208,0.7208003722203672,0.029695002881234497
"[0, 1, 6, 8, 9, 10, 11]",0.6683333333333333,0.6711583657235831,0.6683333333333333,0.6692308045249221,0.7193994804360944,0.031369610211265025
"[0, 1, 6, 7, 8, 9, 10]",0.7466666666666667,0.7444802988634285,0.7466666666666667,0.7453935521552567,0.7290882266758436,0.01130826653569559
"[0, 1, 2, 3, 8, 10, 11]",0.7383333333333333,0.7353343077063209,0.7383333333333333,0.7365233191120935,0.7197106244079947,0.028705193805017546
"[0, 1, 2, 6, 8, 10, 11]",0.74,0.7371861728870489,0.74,0.7382762230134475,0.7191270160359138,0.030490467110322165
"[0, 1, 3, 8, 9, 10, 11]",0.7383333333333333,0.7350907309042221,0.7383333333333333,0.7362832505225947,0.7195161173084742,0.029204827863208375
