features,RF_acc,RF_pre,RF_rec,RF_f1,RF_acc_cv,RF_acc_cv_std
"[0, 1, 6, 9, 10, 11]",0.7466666666666667,0.7563908800904994,0.7466666666666667,0.7502091208941319,0.7316002712150845,0.04042358993834257
"[0, 1, 2, 9, 10, 11]",0.745,0.7537381584880857,0.745,0.7481727033051391,0.7409205942502706,0.03779066775618183
"[0, 1, 3, 6, 10, 11]",0.75,0.7576987493180934,0.75,0.7529642912856735,0.7426523161934789,0.038800562800412365
"[0, 1, 6, 8, 9, 10]",0.7483333333333333,0.7562924522792582,0.7483333333333333,0.7513987607881358,0.7592482564474156,0.016566938461840666
"[0, 1, 3, 5, 10, 11]",0.735,0.7466559757057654,0.735,0.7392257870215928,0.7475557213738233,0.03823370481380297
"[0, 1, 8, 9, 10, 11]",0.7266666666666667,0.7344592437061178,0.7266666666666667,0.7296097603757549,0.7337990895895657,0.03983237153352811
"[0, 1, 2, 3, 10, 11]",0.7316666666666667,0.7397449760345952,0.7316666666666667,0.7347432903703544,0.7480810018452014,0.03871314184086342
"[0, 1, 3, 8, 10, 11]",0.745,0.755156714808863,0.745,0.7486271397547334,0.7410567090903998,0.03754533912962523
"[0, 1, 3, 9, 10, 11]",0.7383333333333333,0.7485061025285423,0.7383333333333333,0.7419895846860537,0.7432554668919978,0.03789444597524847
"[0, 1, 2, 5, 10, 11]",0.745,0.7534391534391535,0.745,0.7481386392811297,0.7462713907458264,0.037361227223785196
