features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
"[0, 1, 6, 9, 10, 11]",0.7433333333333333,0.7425624300453862,0.7433333333333333,0.7427546495446139,0.7021214403020164,0.03790473100762453
"[0, 1, 2, 9, 10, 11]",0.7416666666666667,0.7410716433709433,0.7416666666666667,0.741089728652865,0.7038919932491522,0.0372634214821203
"[0, 1, 3, 6, 10, 11]",0.7416666666666667,0.7405639098843338,0.7416666666666667,0.7408588528898192,0.7071222126062771,0.039519742546311735
"[0, 1, 6, 8, 9, 10]",0.7466666666666667,0.7475003606050828,0.7466666666666667,0.7470148435060715,0.7363267354320323,0.014513469950622622
"[0, 1, 3, 5, 10, 11]",0.745,0.7428167908314345,0.745,0.7434634398591631,0.7089901251057186,0.038999063319949796
"[0, 1, 8, 9, 10, 11]",0.745,0.7443875333130181,0.745,0.7444124689411946,0.7030750089155713,0.03881671400342865
"[0, 1, 2, 3, 10, 11]",0.745,0.7438964121697158,0.745,0.744189898988004,0.7088927731250232,0.03833263194308642
"[0, 1, 3, 8, 10, 11]",0.745,0.7444667564656656,0.745,0.7445411024380172,0.7057212299626795,0.039350295655304665
"[0, 1, 3, 9, 10, 11]",0.7416666666666667,0.7407504257704092,0.7416666666666667,0.7410466932186026,0.7057017747097613,0.039500679298334396
"[0, 1, 2, 5, 10, 11]",0.7416666666666667,0.7395379871995296,0.7416666666666667,0.7403664182856456,0.7064021903154559,0.03909500208581185
