features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
"[0, 1, 2, 3, 5, 6, 10, 11]",0.74,0.7374330109177286,0.74,0.7385399371612826,0.7210337973973346,0.029046578316195577
"[0, 1, 2, 3, 4, 6, 10, 11]",0.7416666666666667,0.7401725520945994,0.7416666666666667,0.7407593666054656,0.7188544304899664,0.027997207790368222
"[0, 1, 2, 3, 4, 9, 10, 11]",0.7383333333333333,0.7358106297558743,0.7383333333333333,0.7367433691853567,0.7184458588212669,0.027819640244457322
"[0, 1, 2, 3, 5, 9, 10, 11]",0.7383333333333333,0.7353343077063209,0.7383333333333333,0.7365233191120935,0.7182902092263102,0.028723197658475193
"[0, 1, 3, 4, 5, 6, 9, 11]",0.7483333333333333,0.7455045814178941,0.7483333333333333,0.7465361422137551,0.7211117584838002,0.029883373978928242
"[0, 1, 3, 4, 6, 9, 10, 11]",0.745,0.7427932232714053,0.745,0.7436713049616276,0.7181734625655796,0.027880613707506965
"[0, 1, 3, 4, 8, 9, 10, 11]",0.735,0.7321461938492974,0.735,0.7331176766596588,0.721656426063603,0.028291805515480026
"[0, 1, 2, 6, 8, 9, 10, 11]",0.7483333333333333,0.7455045814178941,0.7483333333333333,0.7465361422137551,0.7193994274348217,0.03077223209332338
"[0, 1, 2, 3, 5, 8, 10, 11]",0.7383333333333333,0.7353343077063209,0.7383333333333333,0.7365233191120935,0.7203333287903672,0.02936083965062821
"[0, 1, 3, 4, 5, 6, 10, 11]",0.74,0.738138549419097,0.74,0.7388814133479553,0.7198662853603671,0.028017890453561484
