features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
"(0, 1, 2, 3)",0.7383333333333333,0.7346521537219967,0.7383333333333333,0.7356435017375184,0.7227837555641872,0.009523781264268501
"(0, 1, 2, 4)",0.725,0.7210491826505853,0.725,0.7217467244163572,0.7241459829199612,0.010924237812999164
"(0, 1, 2, 5)",0.7333333333333333,0.7286592237119125,0.7333333333333333,0.7293926226595098,0.7215382483685072,0.01329209131578862
"(0, 1, 2, 6)",0.73,0.7255476917803385,0.73,0.7268913997470772,0.7215968867052365,0.011317249879484587
"(0, 1, 2, 7)",0.74,0.7352660577110354,0.74,0.7359174198865482,0.7249825057941749,0.00980554495804958
"(0, 1, 2, 8)",0.7316666666666667,0.7271312427409988,0.7316666666666667,0.7279341563786009,0.721324675954004,0.012369732730299942
"(0, 1, 2, 9)",0.7283333333333334,0.7242763688042646,0.7283333333333334,0.7252761180903498,0.7206435793122402,0.011365710943053324
"(0, 1, 2, 10)",0.7416666666666667,0.739066997845833,0.7416666666666667,0.7401901021777842,0.7236203730835309,0.009736284840521305
"(0, 1, 2, 11)",0.7283333333333334,0.7242763688042646,0.7283333333333334,0.7252761180903498,0.7141847117071483,0.030348184140266788
"(0, 1, 3, 4)",0.7366666666666667,0.7333568329558705,0.7366666666666667,0.7342314628970457,0.7239317858476001,0.007970252084741574
"(0, 1, 3, 5)",0.7283333333333334,0.7232845890938723,0.7283333333333334,0.7243841659122707,0.7235425482860525,0.008758183374131851
"(0, 1, 3, 6)",0.7433333333333333,0.7396346391880572,0.7433333333333333,0.74074278575516,0.7224529254052515,0.009066707853771125
"(0, 1, 3, 7)",0.74,0.7358875044368072,0.74,0.7369215860200908,0.7250408336948777,0.008666957359461646
"(0, 1, 3, 8)",0.7383333333333333,0.7342614881766445,0.7383333333333333,0.7352754954851114,0.7212271498262693,0.009810457389651497
"(0, 1, 3, 9)",0.74,0.7362563543936093,0.74,0.7371763137852247,0.7203320756888462,0.009618714739062536
"(0, 1, 3, 10)",0.735,0.7319509521027989,0.735,0.7331671044156726,0.7240484757212526,0.00860973896038888
"(0, 1, 3, 11)",0.75,0.7467265215318607,0.75,0.7473565303431802,0.7147878624056673,0.02849592565949653
