features,RF_acc,RF_pre,RF_rec,RF_f1,RF_acc_cv,RF_acc_cv_std
"(0, 1, 2, 3)",0.72,0.7285976729944887,0.72,0.7232056320370326,0.774386487552651,0.01578881172783693
"(0, 1, 2, 4)",0.7316666666666667,0.7423451827628145,0.7316666666666667,0.7357642882379029,0.7739585704193839,0.01811112936048607
"(0, 1, 2, 5)",0.73,0.738091365265165,0.73,0.7330580957979475,0.7731606097569286,0.015330263689288626
"(0, 1, 2, 6)",0.7383333333333333,0.7503050006612847,0.7383333333333333,0.742685767978273,0.7698530085415337,0.01735617292047871
"(0, 1, 2, 7)",0.7283333333333334,0.7374667764973987,0.7283333333333334,0.7319209295214487,0.7667784690658072,0.016260803918547926
"(0, 1, 2, 8)",0.7216666666666667,0.7291728046104379,0.7216666666666667,0.7247112472303834,0.7663893034345581,0.016816465043255163
"(0, 1, 2, 9)",0.7316666666666667,0.7373482642065192,0.7316666666666667,0.733976592574659,0.7661558479711492,0.01675225402822009
"(0, 1, 2, 10)",0.7383333333333333,0.7438508277718954,0.7383333333333333,0.7403360699048234,0.7695220193787797,0.01646223219248812
"(0, 1, 2, 11)",0.7383333333333333,0.750736986590645,0.7383333333333333,0.7427325102880659,0.7405898814512959,0.03970157622751511
"(0, 1, 3, 4)",0.7283333333333334,0.7420414683901172,0.7283333333333334,0.7330382456455368,0.7720710966644785,0.01693596178668638
"(0, 1, 3, 5)",0.7166666666666667,0.7316764132553607,0.7166666666666667,0.7218534603643243,0.7723823731395607,0.01596546586022851
"(0, 1, 3, 6)",0.7266666666666667,0.7405657437664949,0.7266666666666667,0.7315581310479186,0.7714290241027074,0.017891758062277215
"(0, 1, 3, 7)",0.7333333333333333,0.7437515138558775,0.7333333333333333,0.7372323334778269,0.767867997301478,0.016204613049719704
"(0, 1, 3, 8)",0.7283333333333334,0.7386396834115516,0.7283333333333334,0.7321828892587631,0.7667397516360357,0.01904154231762321
"(0, 1, 3, 9)",0.7266666666666667,0.7365985422056919,0.7266666666666667,0.7303429100287913,0.769736144520842,0.017129489480587817
"(0, 1, 3, 10)",0.735,0.7439069197795468,0.735,0.7383759861904376,0.772129398064545,0.015712301413769603
"(0, 1, 3, 11)",0.7333333333333333,0.743916352723304,0.7333333333333333,0.7371934652339521,0.7453570998612123,0.04002241794556815
"(0, 1, 4, 5)",0.725,0.7360175455262681,0.725,0.729134943569545,0.7732774586343995,0.016907233853564005
"(0, 1, 4, 6)",0.73,0.7409415799719299,0.73,0.7342050913202404,0.7672651229667385,0.018208293970649488
"(0, 1, 4, 7)",0.7233333333333334,0.7314930730476478,0.7233333333333334,0.7266929125185002,0.7672260799577202,0.01783169001912349
"(0, 1, 4, 8)",0.73,0.7373607223090569,0.73,0.7329932451713675,0.7674209277797085,0.0204544748639592
"(0, 1, 4, 9)",0.7283333333333334,0.7377689730380048,0.7283333333333334,0.7319654291484167,0.7667202698824811,0.01752241221915438
"(0, 1, 4, 10)",0.7316666666666667,0.7389722637756224,0.7316666666666667,0.7346201549766628,0.7671677217705757,0.01855010809251363
"(0, 1, 4, 11)",0.7266666666666667,0.7365676736644478,0.7266666666666667,0.7304688624704259,0.740959561543185,0.03983268273795282
"(0, 1, 5, 6)",0.7333333333333333,0.7431524819547087,0.7333333333333333,0.7370517859663879,0.7682572462204413,0.01597706670641292
"(0, 1, 5, 7)",0.7216666666666667,0.7299626855406303,0.7216666666666667,0.7249554017713423,0.7679653568537839,0.01545569086299039
"(0, 1, 5, 8)",0.7133333333333334,0.7253742219807465,0.7133333333333334,0.7178895229888096,0.7644632561104788,0.01886067665859646
"(0, 1, 5, 9)",0.7183333333333334,0.7339811588513327,0.7183333333333334,0.7239112860340239,0.7683157709830146,0.018405629930131517
"(0, 1, 5, 10)",0.7433333333333333,0.7544924326319674,0.7433333333333333,0.7472026643157997,0.7686270247432657,0.017035377033046296
"(0, 1, 5, 11)",0.7316666666666667,0.7447780449286978,0.7316666666666667,0.7363033405629754,0.7395196759653615,0.039890952222796566
"(0, 1, 6, 7)",0.7433333333333333,0.7566716932761857,0.7433333333333333,0.7478363697796205,0.761505429223236,0.01700486901049881
"(0, 1, 6, 8)",0.73,0.7419454001539428,0.73,0.7343790904743616,0.759559763856615,0.018730969482497764
"(0, 1, 6, 9)",0.7383333333333333,0.7502883519485553,0.7383333333333333,0.7427157126783963,0.760843980910456,0.0188650754464983
"(0, 1, 6, 10)",0.735,0.7444083422474819,0.735,0.7385111497764933,0.7597738700696512,0.018752118922962444
"(0, 1, 6, 11)",0.73,0.7422571065628568,0.73,0.7345253913446169,0.7301606241429883,0.04176150374813131
"(0, 1, 7, 8)",0.7266666666666667,0.7351137195832083,0.7266666666666667,0.7299956985606748,0.757905715278677,0.01602495109864205
"(0, 1, 7, 9)",0.7233333333333334,0.731538959570364,0.7233333333333334,0.7264814928726072,0.7602211099526548,0.017361489330565506
"(0, 1, 7, 10)",0.7483333333333333,0.7564925837723291,0.7483333333333333,0.7514084893977625,0.7598320730387825,0.01780295569841399
"(0, 1, 7, 11)",0.73,0.7416690318692835,0.73,0.7344061173455277,0.7329236751385414,0.04301632279008675
"(0, 1, 8, 9)",0.7283333333333334,0.7402452719908944,0.7283333333333334,0.7327875055642751,0.7580809867019807,0.020336007470087774
"(0, 1, 8, 10)",0.74,0.7475351651119218,0.74,0.7429041029759492,0.7606688495619445,0.01877131982636341
"(0, 1, 8, 11)",0.72,0.7341750455877002,0.72,0.725085263146929,0.7267750580553228,0.04330996201259984
"(0, 1, 9, 10)",0.74,0.7499234358892659,0.74,0.743671087615253,0.7600267618569526,0.019521555262587326
"(0, 1, 9, 11)",0.7266666666666667,0.7392327278254922,0.7266666666666667,0.7312672628043135,0.7250822579753666,0.043374282311018975
"(0, 1, 10, 11)",0.7366666666666667,0.7495833513988819,0.7366666666666667,0.741218162248627,0.7324760112453558,0.04184574846068441
"(0, 2, 3, 4)",0.705,0.7172534165181225,0.705,0.7095176234948722,0.760045952103507,0.014828098195046003
"(0, 2, 3, 5)",0.69,0.7041305542465359,0.69,0.694966948893851,0.7581392010285276,0.015389049921109703
"(0, 2, 3, 6)",0.6966666666666667,0.7171457312950412,0.6966666666666667,0.7030979044180365,0.762089014880486,0.01584747176337101
"(0, 2, 3, 7)",0.7,0.7132318162002029,0.7,0.7047489786160552,0.7545394984413839,0.016755772884265118
"(0, 2, 3, 8)",0.705,0.7177727726699816,0.705,0.7095573359787877,0.7525739803122986,0.014487878697271937
"(0, 2, 3, 9)",0.7016666666666667,0.7144629364006224,0.7016666666666667,0.7061368303482122,0.7573024396485863,0.015742597051172754
"(0, 2, 3, 10)",0.6983333333333334,0.7113389880811165,0.6983333333333334,0.702911942166433,0.7559402652940851,0.015847234462482727
"(0, 2, 3, 11)",0.72,0.7339169526214501,0.72,0.7245263333663947,0.7251793979509707,0.04337015298331462
"(0, 2, 4, 5)",0.7,0.7165596622129677,0.7,0.7056836783792578,0.7595206413456872,0.016329237980084448
"(0, 2, 4, 6)",0.71,0.7273906460583107,0.71,0.715641573614005,0.7580029764000475,0.01630251466748354
"(0, 2, 4, 7)",0.7116666666666667,0.7273833276000458,0.7116666666666667,0.717081361219997,0.7551814725722199,0.016590390783212
"(0, 2, 4, 8)",0.71,0.725721457594676,0.71,0.7151720558611339,0.7544033230283718,0.017042576086631993
"(0, 2, 4, 9)",0.715,0.7289850667304253,0.715,0.7197705980211891,0.7551621649657043,0.016901382641050924
"(0, 2, 4, 10)",0.71,0.7223266001727927,0.71,0.7141939857757552,0.7569715943464299,0.013956508875588648
"(0, 2, 4, 11)",0.71,0.7241490331612899,0.71,0.7148111159977336,0.723136225385641,0.040252511814442046
"(0, 2, 5, 6)",0.6883333333333334,0.7043920781334965,0.6883333333333334,0.6934980878632597,0.7592093951570467,0.01762324077409634
"(0, 2, 5, 7)",0.71,0.7212280534628355,0.71,0.7138421686133554,0.7547145881460382,0.018536320848264422
"(0, 2, 5, 8)",0.7066666666666667,0.7174487596438168,0.7066666666666667,0.7104182671587641,0.7498112208237457,0.019009706253279957
"(0, 2, 5, 9)",0.6983333333333334,0.7114222804527423,0.6983333333333334,0.7027999001656343,0.7552399405477151,0.0169874298454671
"(0, 2, 5, 10)",0.7,0.7141433066215928,0.7,0.7046971810385197,0.7554930367684973,0.018869447962800576
"(0, 2, 5, 11)",0.71,0.7227009685553304,0.71,0.7141274002656975,0.7231750904618152,0.03992970103252398
"(0, 2, 6, 7)",0.7033333333333334,0.7156601024465254,0.7033333333333334,0.7075744084316894,0.7534692323825662,0.016290489642562144
"(0, 2, 6, 8)",0.7116666666666667,0.7279075091575091,0.7116666666666667,0.716932206297887,0.7480014961502146,0.016756145994650782
"(0, 2, 6, 9)",0.7016666666666667,0.7170527670527671,0.7016666666666667,0.7066098582889807,0.7517180362574136,0.017309086737623183
"(0, 2, 6, 10)",0.7166666666666667,0.7302648859709651,0.7166666666666667,0.7206851119894598,0.748916021754751,0.01696070293138424
"(0, 2, 6, 11)",0.7166666666666667,0.7347801414361705,0.7166666666666667,0.7221458624714343,0.7187000832119981,0.04323448199716122
"(0, 2, 7, 8)",0.7183333333333334,0.7312621163823849,0.7183333333333334,0.7228309394595094,0.7497137741979204,0.017143967899994766
"(0, 2, 7, 9)",0.7,0.7090169270422918,0.7,0.7033709233920334,0.7508228485458344,0.016329212250480077
"(0, 2, 7, 10)",0.705,0.7112941564332839,0.705,0.7072685290174765,0.7495581851758468,0.016454810865098306
"(0, 2, 7, 11)",0.715,0.7257726257442783,0.715,0.7187157986294769,0.7182135731716643,0.043554837790102954
"(0, 2, 8, 9)",0.6966666666666667,0.7092780405525562,0.6966666666666667,0.701196421626607,0.7484489707531405,0.016233355573197435
"(0, 2, 8, 10)",0.7083333333333334,0.7215632287395001,0.7083333333333334,0.7128507102607814,0.7456275237123908,0.01556152179220558
"(0, 2, 8, 11)",0.74,0.7511585477102719,0.74,0.7437414092363878,0.716462289972992,0.0438102887365778
"(0, 2, 9, 10)",0.7133333333333334,0.7205579882224904,0.7133333333333334,0.7160044507102993,0.7457833058105294,0.015702637163756684
"(0, 2, 9, 11)",0.7233333333333334,0.7325892580140686,0.7233333333333334,0.7261993476730318,0.7145554139664412,0.04264857251969816
"(0, 2, 10, 11)",0.7183333333333334,0.7255496225909026,0.7183333333333334,0.7206187859860513,0.7148469512532151,0.03902234741502674
