features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
"(0, 1, 2, 3)",0.7366666666666667,0.7349826976604228,0.7366666666666667,0.7354898079172374,0.7365795855754765,0.012830828927725762
"(0, 1, 2, 4)",0.7366666666666667,0.7358192620387742,0.7366666666666667,0.7361736208782622,0.7385643053085318,0.013605976130087741
"(0, 1, 2, 5)",0.725,0.7245328649967826,0.725,0.7246218318292634,0.7374551968883709,0.013897753448353208
"(0, 1, 2, 6)",0.7216666666666667,0.7215344115482812,0.7216666666666667,0.7215216418127526,0.735412171969444,0.01381671895907556
"(0, 1, 2, 7)",0.725,0.7248917754879397,0.725,0.724768480518988,0.7371049076907118,0.012828457666416186
"(0, 1, 2, 8)",0.7266666666666667,0.7272283272283272,0.7266666666666667,0.7267263558711535,0.7345755014488277,0.014485827184660134
"(0, 1, 2, 9)",0.7316666666666667,0.7308787277537278,0.7316666666666667,0.7310382591570762,0.7336414638042951,0.013071849301574179
"(0, 1, 2, 10)",0.7433333333333333,0.7427396407489126,0.7433333333333333,0.742844749596626,0.7369103816621653,0.01328805922377992
"(0, 1, 2, 11)",0.7283333333333334,0.7272157905422916,0.7283333333333334,0.7275736786371564,0.7011679852626174,0.03737297418079464
"(0, 1, 3, 4)",0.7266666666666667,0.7263405733180435,0.7266666666666667,0.726233908592211,0.7390507509901774,0.012422218495572235
"(0, 1, 3, 5)",0.7283333333333334,0.7262997183395193,0.7283333333333334,0.7270137611850574,0.738116546770216,0.011792246532673134
"(0, 1, 3, 6)",0.7316666666666667,0.7305664030281883,0.7316666666666667,0.730865714595265,0.736890888551195,0.013824549647235812
"(0, 1, 3, 7)",0.73,0.7281774387796065,0.73,0.7286948253428085,0.7382138457496386,0.011170428366797236
"(0, 1, 3, 8)",0.73,0.7299187363624694,0.73,0.7296422050236196,0.7364824153134306,0.013898279338914448
"(0, 1, 3, 9)",0.7216666666666667,0.7216621221088686,0.7216666666666667,0.7214021870231822,0.7356065806380292,0.012027867382356576
"(0, 1, 3, 10)",0.7366666666666667,0.7373864128371757,0.7366666666666667,0.7369387449096337,0.739498240736324,0.013090207140998103
"(0, 1, 3, 11)",0.74,0.7376778057806687,0.74,0.7381674244776278,0.7058379539085788,0.0383995289219442
"(0, 1, 4, 5)",0.7216666666666667,0.7206042104560771,0.7216666666666667,0.7210386503629984,0.7383308195586811,0.013787831762609157
"(0, 1, 4, 6)",0.7366666666666667,0.7346880070813061,0.7366666666666667,0.7354917268266125,0.7371635952429085,0.014585944696232605
"(0, 1, 4, 7)",0.7416666666666667,0.7415544734843165,0.7416666666666667,0.7414279459308889,0.7384476305781,0.013540611107386021
"(0, 1, 4, 8)",0.73,0.7312680738352788,0.73,0.7305338860026539,0.7378250170550524,0.015710876631893217
"(0, 1, 4, 9)",0.7366666666666667,0.73643215246799,0.7366666666666667,0.7365123493656538,0.7382920869856889,0.01371542452871713
"(0, 1, 4, 10)",0.7383333333333333,0.7367964675415194,0.7383333333333333,0.7374070235666246,0.7382725143728094,0.012699040852051102
"(0, 1, 4, 11)",0.73,0.728291603467426,0.73,0.7289473814752689,0.7026857562108026,0.03803427237240306
"(0, 1, 5, 6)",0.735,0.7342499221875936,0.735,0.7345046973687102,0.7346142680940667,0.013343574751137092
"(0, 1, 5, 7)",0.73,0.7284531706484236,0.73,0.7288609665693838,0.736774054816945,0.013017361176085847
"(0, 1, 5, 8)",0.735,0.7342499221875936,0.735,0.7345046973687102,0.7377470256821453,0.014570058117519012
"(0, 1, 5, 9)",0.7216666666666667,0.721481515052194,0.7216666666666667,0.7213971720165565,0.7371048811900753,0.012861884358010198
"(0, 1, 5, 10)",0.74,0.7405263519415196,0.74,0.7402212854379507,0.7376886409943644,0.013065826215172788
"(0, 1, 5, 11)",0.7366666666666667,0.7346292218782395,0.7366666666666667,0.7352792486388813,0.7044760597036623,0.03968596820725377
"(0, 1, 6, 7)",0.735,0.7339579509722989,0.735,0.7342758748075217,0.7361709268332571,0.013725040564486759
"(0, 1, 6, 8)",0.74,0.7400094794671989,0.74,0.7399485428719199,0.73671597299358,0.016081464693057303
"(0, 1, 6, 9)",0.7366666666666667,0.7360676922076153,0.7366666666666667,0.7362798090818491,0.7344588456474219,0.014238842617782856
"(0, 1, 6, 10)",0.75,0.7498823159356154,0.75,0.7497948750650979,0.7369881648157866,0.013479620363348776
"(0, 1, 6, 11)",0.7416666666666667,0.7408489658489659,0.7416666666666667,0.7410183487538905,0.7008373746803833,0.03883498280278229
"(0, 1, 7, 8)",0.7266666666666667,0.7266696969286941,0.7266666666666667,0.7264041015642955,0.7348866643497538,0.013053188475726308
"(0, 1, 7, 9)",0.7283333333333334,0.7279162525807175,0.7283333333333334,0.727689379863293,0.7352953155203628,0.012677832218541114
"(0, 1, 7, 10)",0.7433333333333333,0.743564470290605,0.7433333333333333,0.7433667117502781,0.7375523179349492,0.012216883934146614
"(0, 1, 7, 11)",0.7116666666666667,0.7096775056871404,0.7116666666666667,0.7102949321055616,0.7009344843695461,0.03843569895652624
"(0, 1, 8, 9)",0.735,0.734799501561631,0.735,0.7345791312504212,0.7339724378238283,0.015615000519091489
"(0, 1, 8, 10)",0.7466666666666667,0.7477776494025299,0.7466666666666667,0.7471775566055994,0.7368909566956886,0.014829501034876662
"(0, 1, 8, 11)",0.7283333333333334,0.7275283189026402,0.7283333333333334,0.7275448607045756,0.6983272798308199,0.03952139912615074
"(0, 1, 9, 10)",0.7483333333333333,0.7481502162500775,0.7483333333333333,0.7481589500303761,0.7342446637182816,0.011740269511560698
"(0, 1, 9, 11)",0.7266666666666667,0.7252299557361116,0.7266666666666667,0.7254058760329256,0.6979769906331608,0.038292087109559406
"(0, 1, 10, 11)",0.745,0.7446732807832979,0.745,0.7446514466081279,0.700409203898168,0.03818228874101658
"(0, 2, 3, 4)",0.705,0.7025105528758188,0.705,0.703345497173751,0.7263059135034371,0.013634950848166624
"(0, 2, 3, 5)",0.7033333333333334,0.7032149091127965,0.7033333333333334,0.7029175368924656,0.7251384241813007,0.014285925839501844
"(0, 2, 3, 6)",0.7116666666666667,0.7144653299916458,0.7116666666666667,0.7127402543256203,0.7242433803303191,0.01642581171586308
"(0, 2, 3, 7)",0.71,0.7117683682268869,0.71,0.7103808850628343,0.7281349041396264,0.016774092590820446
"(0, 2, 3, 8)",0.7066666666666667,0.7081101413692064,0.7066666666666667,0.7068852037122747,0.7260140279225848,0.01622300436087607
"(0, 2, 3, 9)",0.7116666666666667,0.7123226507210481,0.7116666666666667,0.7117277503117773,0.722005704451274,0.01508016138611143
"(0, 2, 3, 10)",0.7066666666666667,0.7093802975133662,0.7066666666666667,0.7076338876358392,0.7235427300047019,0.013769654082006212
"(0, 2, 3, 11)",0.7183333333333334,0.7231275214396989,0.7183333333333334,0.72002540650486,0.6835393152084123,0.040887109042637294
"(0, 2, 4, 5)",0.7016666666666667,0.7015394328113059,0.7016666666666667,0.701498269508345,0.7264810221371174,0.014784948426190615
"(0, 2, 4, 6)",0.7133333333333334,0.7161707413000873,0.7133333333333334,0.7146269406900094,0.7223559406476604,0.01571352065051556
"(0, 2, 4, 7)",0.7116666666666667,0.7114629307490165,0.7116666666666667,0.7115449696350805,0.7256443099726437,0.014056226326099841
"(0, 2, 4, 8)",0.7216666666666667,0.7210412583546912,0.7216666666666667,0.721345714440866,0.7281740569369959,0.01671931010442575
"(0, 2, 4, 9)",0.7166666666666667,0.7163287323449136,0.7166666666666667,0.716461494826591,0.7220446831016042,0.013828448762389194
"(0, 2, 4, 10)",0.7133333333333334,0.7171684275188274,0.7133333333333334,0.7150377151904043,0.7251773990458257,0.014809678812628633
"(0, 2, 4, 11)",0.725,0.7271440303520952,0.725,0.7259810911767743,0.6874895303557219,0.043002548589688605
"(0, 2, 5, 6)",0.6966666666666667,0.7014260859537366,0.6966666666666667,0.698681280468222,0.7239710560049306,0.015250758402278604
"(0, 2, 5, 7)",0.7066666666666667,0.706832348937612,0.7066666666666667,0.7065766450991298,0.7236596356692508,0.013653857370218831
"(0, 2, 5, 8)",0.7016666666666667,0.7020538984824699,0.7016666666666667,0.7017231134878195,0.722842405258332,0.013445772216711824
"(0, 2, 5, 9)",0.7083333333333334,0.7078282986193619,0.7083333333333334,0.7080239881409471,0.7251579551503229,0.014478078902465386
"(0, 2, 5, 10)",0.7066666666666667,0.7067265649972416,0.7066666666666667,0.7065231352656688,0.72130520934367,0.01392175506848394
"(0, 2, 5, 11)",0.725,0.7270068408625765,0.725,0.7256739387943507,0.6892019030485576,0.04454552818917978
"(0, 2, 6, 7)",0.71,0.7120354100439704,0.71,0.7108584920798661,0.7236402523466313,0.01537866147011064
"(0, 2, 6, 8)",0.7116666666666667,0.7130326891195884,0.7116666666666667,0.712107975041717,0.7224922485638547,0.01567769497585189
"(0, 2, 6, 9)",0.7083333333333334,0.7098677052145007,0.7083333333333334,0.7090311777476557,0.7151369590746885,0.013055984382759954
"(0, 2, 6, 10)",0.71,0.7108469504640343,0.71,0.7101974305391416,0.7192037580931051,0.013935994981252491
"(0, 2, 6, 11)",0.73,0.7317427118523381,0.73,0.7305009806809081,0.6833255232172075,0.043105134918658604
"(0, 2, 7, 8)",0.7133333333333334,0.7153284955306509,0.7133333333333334,0.7139257823075934,0.7198263905451787,0.013168746554708335
"(0, 2, 7, 9)",0.71,0.7097184785864031,0.71,0.7095504279970298,0.7188338243522676,0.01181885708869684
"(0, 2, 7, 10)",0.7083333333333334,0.7086272282945303,0.7083333333333334,0.7084589494943472,0.7202349849287095,0.013831178108118817
"(0, 2, 7, 11)",0.7233333333333334,0.7269452124273259,0.7233333333333334,0.7246933439388376,0.6850960080198498,0.042871227810605976
"(0, 2, 8, 9)",0.715,0.7135136131032164,0.715,0.7137225932282751,0.7201572509905559,0.014778113200385865
"(0, 2, 8, 10)",0.7216666666666667,0.7213268106222,0.7216666666666667,0.7212757111131016,0.7202350682164238,0.014519465538660474
"(0, 2, 8, 11)",0.72,0.7227456205522638,0.72,0.7209405657386868,0.683267165030063,0.044766870839174154
"(0, 2, 9, 10)",0.7233333333333334,0.7219938137515549,0.7233333333333334,0.7223603646961311,0.7177248295062628,0.011937227691788566
"(0, 2, 9, 11)",0.72,0.7206914919374363,0.72,0.7199173949920713,0.6789863355147143,0.04244593774758066
"(0, 2, 10, 11)",0.7316666666666667,0.7333788994146704,0.7316666666666667,0.7322846352112672,0.6794143586505271,0.04258217498292929
"(0, 3, 4, 5)",0.71,0.7095200284633274,0.71,0.7096186032848292,0.7200792671892593,0.012303416557812991
"(0, 3, 4, 6)",0.7066666666666667,0.7071975226110565,0.7066666666666667,0.7067532848629069,0.7238347367313207,0.01384026390126429
"(0, 3, 4, 7)",0.7066666666666667,0.7044888264418574,0.7066666666666667,0.7051978447269208,0.7247685888713985,0.012556312156518834
"(0, 3, 4, 8)",0.7083333333333334,0.7098388407367281,0.7083333333333334,0.7087041553373119,0.723893110061686,0.014041466126576595
"(0, 3, 4, 9)",0.7066666666666667,0.705575007262994,0.7066666666666667,0.7056185061208765,0.7217333346962232,0.013622983580893023
"(0, 3, 4, 10)",0.7133333333333334,0.7111169054729712,0.7133333333333334,0.7118721390351931,0.7203128286552138,0.012099327105923211
"(0, 3, 4, 11)",0.7216666666666667,0.7223286265696,0.7216666666666667,0.7217272088607856,0.6878784006941652,0.04216325392466346
"(0, 3, 5, 6)",0.7083333333333334,0.7095781392437958,0.7083333333333334,0.708636055805568,0.7261697797342819,0.016023225549979928
"(0, 3, 5, 7)",0.6983333333333334,0.6967684766119209,0.6983333333333334,0.6967607659731764,0.7261306042220814,0.014739109209042405
"(0, 3, 5, 8)",0.6983333333333334,0.6981755937176123,0.6983333333333334,0.6977835707012036,0.725877769221858,0.014749726750025723
"(0, 3, 5, 9)",0.7083333333333334,0.7062035653744196,0.7083333333333334,0.7066333520280889,0.7234845913942591,0.013831095825525424
"(0, 3, 5, 10)",0.7133333333333334,0.7120802219671454,0.7133333333333334,0.7121949482210439,0.7226672776956258,0.013526337129062831
"(0, 3, 5, 11)",0.7333333333333333,0.7338566424949466,0.7333333333333333,0.7331039035339562,0.6881898058866242,0.04349736300673435
"(0, 3, 6, 7)",0.7133333333333334,0.7150685352757455,0.7133333333333334,0.713862253737427,0.724515810658253,0.014884177097684996
"(0, 3, 6, 8)",0.7083333333333334,0.7111714304456515,0.7083333333333334,0.7093970186555665,0.7215776396716043,0.016262405569973593
"(0, 3, 6, 9)",0.715,0.7160933880922735,0.715,0.7150545788075187,0.716207274348974,0.014655509633172187
"(0, 3, 6, 10)",0.715,0.7149167610781351,0.715,0.7145379572975158,0.7136971037833065,0.013545850444058562
"(0, 3, 6, 11)",0.73,0.7324633345714084,0.73,0.7307455829194961,0.6819439087530088,0.042553629942463936
"(0, 3, 7, 8)",0.71,0.7135552168081308,0.71,0.711044976562795,0.7276679591405617,0.015824237276673838
"(0, 3, 7, 9)",0.7133333333333334,0.7126226059500474,0.7133333333333334,0.7121905171271743,0.7225505196774796,0.014011042355117425
"(0, 3, 7, 10)",0.715,0.7149167610781351,0.715,0.7145379572975158,0.7230757963630527,0.013302966412849917
"(0, 3, 7, 11)",0.735,0.7388149909215845,0.735,0.7364824940755946,0.687275299211114,0.04382683739259752
"(0, 3, 8, 9)",0.7183333333333334,0.7188981560788477,0.7183333333333334,0.7179912419560672,0.7209160929278887,0.014344779457959514
"(0, 3, 8, 10)",0.7116666666666667,0.7133595050706173,0.7116666666666667,0.7120602683683391,0.7232511018586033,0.015544287773018629
