features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
"[0, 1, 8, 9, 10]",0.745,0.7461694809255786,0.745,0.7455005990519351,0.7349646102929986,0.01408571627009565
"[0, 1, 6, 8, 10]",0.7466666666666667,0.7470143755882798,0.7466666666666667,0.7468182387004,0.7373774023773343,0.014826896090688279
"[0, 1, 7, 9, 10]",0.7383333333333333,0.7380630490894015,0.7383333333333333,0.7381163251029825,0.738525372087864,0.014019406352769409
"[0, 1, 2, 8, 10]",0.74,0.7401839597328319,0.74,0.7399104682011433,0.7374358097799463,0.01401041300615115
"[0, 1, 5, 8, 10]",0.7466666666666667,0.7467121083967694,0.7466666666666667,0.7466801331687427,0.7362293418074797,0.014288383470417776
"[0, 1, 5, 6, 11]",0.7383333333333333,0.7364041038825013,0.7383333333333333,0.737114979045605,0.7056238817677893,0.03923988822490231
"[0, 1, 7, 8, 10]",0.7433333333333333,0.7437950338918274,0.7433333333333333,0.7434496552884462,0.7370271623951428,0.013420908155640125
"[0, 1, 9, 10, 11]",0.7483333333333333,0.747348359463553,0.7483333333333333,0.7474858317810945,0.7016544498732891,0.037740548901287405
"[0, 1, 5, 10, 11]",0.7416666666666667,0.7401211361737677,0.7416666666666667,0.7406139253700229,0.704417591728167,0.039073204424838665
"[0, 1, 2, 5, 11]",0.74,0.7377210987598343,0.74,0.7385722929549544,0.7053321135468982,0.039600604590747414
