features,RF_acc,RF_pre,RF_rec,RF_f1,RF_acc_cv,RF_acc_cv_std
"[0, 1, 8, 9, 10]",0.74,0.7490809016617298,0.74,0.7434285550258214,0.7596763742283583,0.018276063381993002
"[0, 1, 6, 8, 10]",0.74,0.7508332855172074,0.74,0.743935052791416,0.7596764537302674,0.017154072287356135
"[0, 1, 7, 9, 10]",0.75,0.7553477358323897,0.75,0.7521551828402137,0.7599098069769361,0.015993985921974225
"[0, 1, 2, 8, 10]",0.7466666666666667,0.7530536817211234,0.7466666666666667,0.7490633369591797,0.7669340694452962,0.014790010006952794
"[0, 1, 5, 8, 10]",0.7333333333333333,0.7422218611201387,0.7333333333333333,0.7367673025722077,0.7640349755399126,0.016471083815337004
"[0, 1, 5, 6, 11]",0.7416666666666667,0.7507442189612539,0.7416666666666667,0.7450077649687606,0.7435085555411696,0.0396668854961649
"[0, 1, 7, 8, 10]",0.725,0.7302997246896265,0.725,0.7271454214459395,0.7608243212240567,0.014685590953453046
"[0, 1, 9, 10, 11]",0.7433333333333333,0.7539875068048455,0.7433333333333333,0.747175809939392,0.7321841029496723,0.0403748332070754
"[0, 1, 5, 10, 11]",0.745,0.757827628597844,0.745,0.7492349475123088,0.7413293022079575,0.03906738904442357
"[0, 1, 2, 5, 11]",0.7366666666666667,0.7458007247034707,0.7366666666666667,0.7400499218514828,0.7475750857674168,0.036262099403376165
