features,RF_acc,RF_pre,RF_rec,RF_f1,RF_acc_cv,RF_acc_cv_std
"[0, 1, 2, 3, 5, 6, 8, 10, 11]",0.7333333333333333,0.7406605602670663,0.7333333333333333,0.7362292348481764,0.7506299125554715,0.0362928131939817
"[0, 1, 2, 3, 4, 6, 9, 10, 11]",0.7466666666666667,0.7553391926033436,0.7466666666666667,0.7499183424008337,0.7507466062149293,0.036586179252039525
"[0, 1, 2, 3, 4, 5, 6, 9, 11]",0.7333333333333333,0.7384950152743751,0.7333333333333333,0.7353485279433617,0.7544825977892412,0.03768849971507833
"[0, 1, 3, 4, 6, 7, 9, 10, 11]",0.74,0.7455197132616487,0.74,0.7422438925029599,0.749851759225818,0.03900416637998608
"[0, 1, 3, 4, 5, 8, 9, 10, 11]",0.74,0.7475422119186357,0.74,0.7427953000078511,0.7503187042248829,0.038220233366479145
"[0, 1, 3, 4, 5, 6, 9, 10, 11]",0.7366666666666667,0.7452380952380951,0.7366666666666667,0.739880188275567,0.7507856227233114,0.03857314762604971
"[0, 1, 3, 4, 5, 6, 8, 10, 11]",0.735,0.7409434948460343,0.735,0.7372647637499624,0.7515054481522622,0.037635416706979556
"[0, 1, 3, 4, 6, 7, 8, 10, 11]",0.7383333333333333,0.7467924834613838,0.7383333333333333,0.7415819077553939,0.7494430209816896,0.03901466171409345
"[0, 1, 3, 4, 5, 6, 7, 8, 11]",0.7416666666666667,0.7513959332703491,0.7416666666666667,0.7453070062591765,0.7527898166383109,0.03876386518172086
"[0, 1, 3, 5, 6, 8, 9, 10, 11]",0.7316666666666667,0.7399793517552478,0.7316666666666667,0.7348539351926422,0.746368614009145,0.03660649630304215
