features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
"[0, 1, 2, 3, 5, 6, 8, 10, 11]",0.74,0.7371557286230899,0.74,0.7383170476848145,0.7226098886746123,0.029694294207679175
"[0, 1, 2, 3, 4, 6, 9, 10, 11]",0.7383333333333333,0.7362852580804639,0.7383333333333333,0.7370740565648379,0.7189907232629401,0.028369199723971023
"[0, 1, 2, 3, 4, 5, 6, 9, 11]",0.7466666666666667,0.7437004909490678,0.7466666666666667,0.7447363010027781,0.7213062996555675,0.029779412817194127
"[0, 1, 3, 4, 6, 7, 9, 10, 11]",0.74,0.7366722122819684,0.74,0.737837792038334,0.7249643150001931,0.029276068423345344
"[0, 1, 3, 4, 5, 8, 9, 10, 11]",0.64,0.6713152906922947,0.64,0.6438750796065068,0.721345153374326,0.0285568191329092
"[0, 1, 3, 4, 5, 6, 9, 10, 11]",0.7416666666666667,0.7387176633098431,0.7416666666666667,0.7398795338085142,0.7220262008006222,0.02910089494054657
"[0, 1, 3, 4, 5, 6, 8, 10, 11]",0.7383333333333333,0.7358106297558743,0.7383333333333333,0.7367433691853567,0.7229796520542158,0.029643127039841146
"[0, 1, 3, 4, 6, 7, 8, 10, 11]",0.74,0.7373775424485363,0.74,0.7382969465526691,0.7264821162348198,0.030316228212036143
"[0, 1, 3, 4, 5, 6, 7, 8, 11]",0.7416666666666667,0.7394847671901692,0.7416666666666667,0.7402860890132236,0.7251589318880644,0.029568454336004423
"[0, 1, 3, 5, 6, 8, 9, 10, 11]",0.7483333333333333,0.7454843745168873,0.7483333333333333,0.746591963201356,0.7222207760446361,0.029433419803658812
