features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
"[0, 1, 3, 5, 6, 10, 11]",0.7466666666666667,0.7451884232236946,0.7466666666666667,0.7456973634569167,0.7102549323363035,0.04008815650362485
"[0, 1, 3, 4, 5, 10, 11]",0.7433333333333333,0.7413619732027692,0.7433333333333333,0.7420355208494741,0.7086010276189632,0.0400370399000234
"[0, 1, 2, 3, 4, 10, 11]",0.7416666666666667,0.7400242878773002,0.7416666666666667,0.7406409381490859,0.7100213065116605,0.038095793458595276
"[0, 1, 2, 3, 5, 10, 11]",0.7483333333333333,0.7470771645916314,0.7483333333333333,0.7474757429281907,0.7105467308436364,0.03933899340847885
"[0, 1, 3, 6, 8, 10, 11]",0.74,0.738336258849687,0.74,0.7388281867328834,0.7092819652569087,0.040641018403870494
"[0, 1, 6, 8, 9, 10, 11]",0.7466666666666667,0.7441885578349262,0.7466666666666667,0.7450940387210524,0.7049428911285711,0.03948922086589677
"[0, 1, 6, 7, 8, 9, 10]",0.7383333333333333,0.738360355545146,0.7383333333333333,0.7382368629220014,0.7391482203308339,0.01523205241422256
"[0, 1, 2, 3, 8, 10, 11]",0.745,0.7433463727776524,0.745,0.7438307094740397,0.70710268542306,0.03827915340903036
"[0, 1, 2, 6, 8, 10, 11]",0.74,0.7395558761803731,0.74,0.7395497260296886,0.7052541486746274,0.03948171906078908
"[0, 1, 3, 8, 9, 10, 11]",0.745,0.7434332606133554,0.745,0.7438753161244858,0.7062271195398279,0.03834400505107658
