features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
"[0, 1, 8, 9, 10]",0.7583333333333333,0.7555091564168839,0.7583333333333333,0.7566490477008654,0.7210909706274518,0.01175461841954334
"[0, 1, 6, 8, 10]",0.7516666666666667,0.7492045607243877,0.7516666666666667,0.7502556867413557,0.7219860371932646,0.011353553623404943
"[0, 1, 7, 9, 10]",0.7466666666666667,0.7439884166226877,0.7466666666666667,0.7450608188728274,0.7242236070697641,0.009871256243817543
"[0, 1, 2, 8, 10]",0.745,0.7418898174995735,0.745,0.7430736405960604,0.7238150089004279,0.010229276276059365
"[0, 1, 5, 8, 10]",0.7516666666666667,0.7493878860870531,0.7516666666666667,0.7503493998163671,0.7231923234470817,0.010679215956523058
"[0, 1, 5, 6, 11]",0.7433333333333333,0.7393822212470317,0.7433333333333333,0.7406325774525144,0.7167337397773794,0.030900769506944495
"[0, 1, 7, 8, 10]",0.75,0.7468774768989979,0.75,0.7480642673377131,0.7267921093219396,0.010136868045845255
"[0, 1, 9, 10, 11]",0.755,0.7522594364699628,0.755,0.7532414316847238,0.7149240226754587,0.02948015543513143
"[0, 1, 5, 10, 11]",0.7483333333333333,0.7455374344157989,0.7483333333333333,0.746670748175737,0.7155271241585102,0.028238256535465647
"[0, 1, 2, 5, 11]",0.735,0.7311765461677411,0.735,0.7322435554436764,0.7170644677195748,0.02928885279913356
