features,RF_acc,RF_pre,RF_rec,RF_f1,RF_acc_cv,RF_acc_cv_std
"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11]",0.7366666666666667,0.7433847349029101,0.7366666666666667,0.7392495411472677,0.7531788459805728,0.0365848088732188
"[0, 1, 3, 4, 6, 7, 8, 9, 10, 11]",0.735,0.7412627418348241,0.735,0.7374514364887226,0.7491316915053347,0.038575624384983395
"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11]",0.7333333333333333,0.7408730158730159,0.7333333333333333,0.7362360753265679,0.7546382776706395,0.03819354856452751
"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11]",0.7316666666666667,0.7383965513256131,0.7316666666666667,0.7343596583358197,0.7530036957030355,0.03650214800680227
"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11]",0.7316666666666667,0.7403802723333779,0.7316666666666667,0.7349597141116613,0.7503768882649882,0.03626670693033997
"[0, 1, 3, 4, 5, 6, 8, 9, 10, 11]",0.7316666666666667,0.7364119257905499,0.7316666666666667,0.7336670941481939,0.7508828762730718,0.037913282958976266
"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]",0.7316666666666667,0.7399393258381712,0.7316666666666667,0.7349063345518101,0.7520893669603694,0.038477804602351146
"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11]",0.7366666666666667,0.7414229223559853,0.7366666666666667,0.7385612089910114,0.7523617215721995,0.03777015143278703
"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11]",0.7266666666666667,0.7330696921268315,0.7266666666666667,0.7290429439330306,0.7539961104637383,0.037153253015011975
"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11]",0.7433333333333333,0.7490803533905633,0.7433333333333333,0.7456882163263733,0.7509802812550399,0.03775984340368018
