0,1,2,3,4,5,6,7,8
0.73,0.25,0.0,0.28,0.62,0.08,0.0,0.06,0.92
0.73,0.25,0.0,0.29,0.59,0.11,0.0,0.1,0.88
0.73,0.26,0.0,0.28,0.6,0.11,0.0,0.1,0.88
0.73,0.26,0.0,0.29,0.6,0.1,0.0,0.1,0.89
0.73,0.26,0.0,0.28,0.6,0.11,0.0,0.11,0.87
0.73,0.25,0.0,0.28,0.6,0.11,0.0,0.11,0.88
0.73,0.25,0.0,0.28,0.6,0.1,0.0,0.1,0.88
0.73,0.26,0.0,0.28,0.6,0.1,0.0,0.11,0.88
0.73,0.25,0.0,0.28,0.6,0.1,0.0,0.1,0.88
0.73,0.26,0.0,0.28,0.6,0.1,0.0,0.11,0.87
0.73,0.26,0.0,0.28,0.6,0.11,0.0,0.1,0.88
0.73,0.25,0.0,0.29,0.59,0.1,0.0,0.1,0.88
0.73,0.26,0.0,0.28,0.6,0.1,0.0,0.1,0.88
0.73,0.25,0.0,0.29,0.6,0.09,0.01,0.08,0.9
0.74,0.24,0.0,0.3,0.6,0.09,0.01,0.08,0.89
0.73,0.25,0.0,0.3,0.59,0.1,0.01,0.11,0.87
0.8,0.19,0.0,0.35,0.62,0.01,0.01,0.8,0.17
0.74,0.25,0.0,0.29,0.61,0.09,0.01,0.08,0.9
0.73,0.25,0.0,0.29,0.6,0.09,0.0,0.17,0.81
0.73,0.25,0.0,0.29,0.6,0.09,0.01,0.08,0.9
0.74,0.24,0.0,0.3,0.6,0.09,0.01,0.08,0.89
0.73,0.25,0.0,0.3,0.59,0.1,0.01,0.11,0.87
0.8,0.19,0.0,0.35,0.62,0.01,0.01,0.8,0.17
0.74,0.25,0.0,0.29,0.61,0.09,0.01,0.08,0.9
0.73,0.25,0.0,0.29,0.6,0.09,0.0,0.17,0.81
