0,1,2,3,4,5,6,7,8
0.72,0.27,0.0,0.27,0.63,0.08,0.0,0.05,0.93
0.71,0.27,0.0,0.27,0.61,0.1,0.0,0.09,0.89
0.72,0.27,0.0,0.27,0.61,0.1,0.0,0.1,0.88
0.72,0.27,0.0,0.27,0.61,0.1,0.0,0.1,0.88
0.72,0.27,0.0,0.27,0.62,0.1,0.0,0.1,0.88
0.72,0.27,0.0,0.26,0.61,0.11,0.0,0.1,0.88
0.71,0.27,0.0,0.27,0.61,0.11,0.0,0.09,0.89
0.72,0.27,0.0,0.27,0.62,0.1,0.0,0.1,0.88
0.72,0.27,0.0,0.27,0.61,0.1,0.0,0.09,0.89
0.71,0.27,0.0,0.26,0.62,0.1,0.0,0.1,0.88
0.72,0.27,0.0,0.27,0.62,0.1,0.0,0.1,0.88
0.71,0.27,0.0,0.27,0.61,0.11,0.0,0.09,0.89
0.72,0.27,0.0,0.27,0.62,0.1,0.01,0.09,0.89
0.71,0.28,0.0,0.27,0.63,0.08,0.01,0.07,0.91
0.71,0.27,0.0,0.28,0.62,0.09,0.0,0.07,0.91
0.72,0.27,0.0,0.28,0.6,0.1,0.0,0.09,0.89
0.7,0.29,0.0,0.27,0.62,0.1,0.01,0.14,0.84
0.71,0.27,0.0,0.26,0.64,0.09,0.0,0.08,0.9
0.71,0.27,0.0,0.27,0.6,0.11,0.0,0.13,0.85
0.71,0.28,0.0,0.27,0.63,0.08,0.01,0.07,0.91
0.71,0.27,0.0,0.28,0.62,0.09,0.0,0.07,0.91
0.72,0.27,0.0,0.28,0.6,0.1,0.0,0.09,0.89
0.7,0.29,0.0,0.27,0.62,0.1,0.01,0.14,0.84
0.71,0.27,0.0,0.26,0.64,0.09,0.0,0.08,0.9
0.71,0.27,0.0,0.27,0.6,0.11,0.0,0.13,0.85
