0,1,2,3,4,5,6,7,8
0.73,0.25,0.0,0.27,0.64,0.07,0.0,0.09,0.89
0.73,0.25,0.0,0.27,0.62,0.09,0.0,0.12,0.86
0.74,0.24,0.0,0.27,0.62,0.1,0.0,0.13,0.85
0.73,0.25,0.0,0.28,0.62,0.09,0.0,0.13,0.85
0.73,0.25,0.0,0.27,0.62,0.1,0.0,0.13,0.85
0.74,0.25,0.0,0.27,0.62,0.1,0.0,0.13,0.85
0.74,0.25,0.0,0.28,0.62,0.09,0.0,0.13,0.85
0.74,0.25,0.0,0.27,0.62,0.1,0.0,0.13,0.85
0.73,0.25,0.0,0.27,0.62,0.1,0.0,0.13,0.85
0.73,0.25,0.0,0.27,0.62,0.1,0.0,0.13,0.85
0.74,0.25,0.0,0.27,0.62,0.1,0.0,0.14,0.85
0.74,0.25,0.0,0.28,0.62,0.09,0.0,0.13,0.85
0.73,0.26,0.0,0.27,0.62,0.1,0.0,0.12,0.86
0.74,0.25,0.0,0.29,0.62,0.08,0.0,0.1,0.88
0.74,0.25,0.0,0.28,0.62,0.08,0.01,0.1,0.88
0.74,0.25,0.0,0.28,0.61,0.1,0.0,0.13,0.85
0.73,0.25,0.0,0.28,0.61,0.1,0.0,0.16,0.82
0.73,0.25,0.0,0.27,0.63,0.08,0.0,0.11,0.88
0.73,0.25,0.0,0.28,0.63,0.08,0.0,0.19,0.8
0.74,0.25,0.0,0.29,0.62,0.08,0.0,0.1,0.88
0.74,0.25,0.0,0.28,0.62,0.08,0.01,0.1,0.88
0.74,0.25,0.0,0.28,0.61,0.1,0.0,0.13,0.85
0.73,0.25,0.0,0.28,0.61,0.1,0.0,0.16,0.82
0.73,0.25,0.0,0.27,0.63,0.08,0.0,0.11,0.88
0.73,0.25,0.0,0.28,0.63,0.08,0.0,0.19,0.8
