0,1,2,3,4,5,6,7,8
0.72,0.26,0.0,0.27,0.64,0.08,0.0,0.07,0.91
0.72,0.26,0.01,0.26,0.62,0.1,0.0,0.12,0.86
0.72,0.25,0.01,0.26,0.62,0.1,0.0,0.13,0.85
0.72,0.25,0.01,0.26,0.62,0.1,0.0,0.13,0.86
0.73,0.25,0.01,0.26,0.63,0.1,0.0,0.13,0.85
0.73,0.25,0.01,0.26,0.62,0.1,0.0,0.13,0.85
0.72,0.26,0.01,0.26,0.62,0.1,0.0,0.13,0.86
0.73,0.25,0.01,0.26,0.63,0.1,0.0,0.13,0.86
0.73,0.25,0.01,0.27,0.62,0.1,0.0,0.12,0.86
0.73,0.25,0.01,0.26,0.62,0.1,0.0,0.13,0.86
0.73,0.25,0.01,0.26,0.63,0.1,0.0,0.13,0.85
0.72,0.25,0.01,0.26,0.62,0.1,0.0,0.12,0.86
0.72,0.26,0.01,0.27,0.62,0.1,0.0,0.12,0.86
0.71,0.26,0.01,0.27,0.64,0.08,0.0,0.1,0.88
0.72,0.25,0.01,0.28,0.62,0.09,0.0,0.09,0.89
0.72,0.26,0.01,0.27,0.62,0.1,0.0,0.13,0.85
0.72,0.26,0.01,0.27,0.6,0.11,0.0,0.15,0.83
0.72,0.26,0.01,0.27,0.63,0.08,0.0,0.1,0.89
0.72,0.26,0.01,0.27,0.6,0.11,0.0,0.15,0.83
0.71,0.26,0.01,0.27,0.64,0.08,0.0,0.1,0.88
0.72,0.25,0.01,0.28,0.62,0.09,0.0,0.09,0.89
0.72,0.26,0.01,0.27,0.62,0.1,0.0,0.13,0.85
0.72,0.26,0.01,0.27,0.6,0.11,0.0,0.15,0.83
0.72,0.26,0.01,0.27,0.63,0.08,0.0,0.1,0.89
0.72,0.26,0.01,0.27,0.6,0.11,0.0,0.15,0.83
