0,1,2,3,4,5,6,7,8
0.73,0.26,0.0,0.26,0.65,0.08,0.0,0.07,0.92
0.74,0.25,0.0,0.26,0.62,0.11,0.0,0.11,0.88
0.73,0.25,0.0,0.25,0.63,0.11,0.0,0.11,0.87
0.73,0.25,0.0,0.26,0.62,0.11,0.0,0.11,0.87
0.73,0.25,0.0,0.25,0.63,0.11,0.0,0.12,0.87
0.74,0.25,0.0,0.25,0.63,0.11,0.0,0.12,0.87
0.73,0.25,0.0,0.26,0.62,0.11,0.0,0.11,0.87
0.73,0.25,0.0,0.25,0.63,0.11,0.0,0.12,0.87
0.73,0.25,0.0,0.26,0.62,0.11,0.0,0.11,0.87
0.73,0.25,0.0,0.25,0.63,0.11,0.0,0.11,0.87
0.74,0.25,0.0,0.25,0.63,0.11,0.0,0.12,0.87
0.73,0.26,0.0,0.26,0.62,0.11,0.0,0.11,0.87
0.73,0.26,0.0,0.26,0.62,0.11,0.0,0.11,0.87
0.72,0.26,0.0,0.26,0.64,0.09,0.0,0.08,0.9
0.73,0.26,0.0,0.27,0.63,0.09,0.01,0.08,0.9
0.73,0.26,0.0,0.27,0.61,0.11,0.0,0.1,0.88
0.87,0.1,0.01,0.46,0.37,0.16,0.02,0.69,0.28
0.72,0.26,0.0,0.25,0.65,0.09,0.0,0.08,0.9
0.73,0.26,0.0,0.27,0.61,0.11,0.0,0.16,0.82
0.72,0.26,0.0,0.26,0.64,0.09,0.0,0.08,0.9
0.73,0.26,0.0,0.27,0.63,0.09,0.01,0.08,0.9
0.73,0.26,0.0,0.27,0.61,0.11,0.0,0.1,0.88
0.87,0.1,0.01,0.46,0.37,0.16,0.02,0.69,0.28
0.72,0.26,0.0,0.25,0.65,0.09,0.0,0.08,0.9
0.73,0.26,0.0,0.27,0.61,0.11,0.0,0.16,0.82
