features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
"[0, 1, 6, 9, 10, 11]",0.75,0.7470946804750194,0.75,0.7482299648393578,0.71502129136844,0.029288868850117486
"[0, 1, 2, 9, 10, 11]",0.7433333333333333,0.7403279692679752,0.7433333333333333,0.7415175354465159,0.7148071927270139,0.028698593750846976
"[0, 1, 3, 6, 10, 11]",0.7383333333333333,0.7363400616764788,0.7383333333333333,0.7371984826157894,0.7181929140326927,0.02820987546504343
"[0, 1, 6, 8, 9, 10]",0.7533333333333333,0.7505791176971555,0.7533333333333333,0.751730015745038,0.7227255753098871,0.012689807880352896
"[0, 1, 3, 5, 10, 11]",0.74,0.7371557286230899,0.74,0.7383170476848145,0.7178037484014437,0.027627870511407766
"[0, 1, 8, 9, 10, 11]",0.755,0.7520451033901537,0.755,0.7531435600367049,0.7179984750776659,0.030394576322445188
"[0, 1, 2, 3, 10, 11]",0.7366666666666667,0.7339961749595167,0.7366666666666667,0.7350690568257826,0.7179010170944248,0.027914690949479456
"[0, 1, 3, 8, 10, 11]",0.7383333333333333,0.7355521859589443,0.7383333333333333,0.7366260579969458,0.7110723103936254,0.03866093399775869
"[0, 1, 3, 9, 10, 11]",0.7383333333333333,0.7356011981172442,0.7383333333333333,0.7367521367521368,0.716422171795297,0.027869433287778085
"[0, 1, 2, 5, 10, 11]",0.7383333333333333,0.7351196269058535,0.7383333333333333,0.736360360968964,0.7165778668199161,0.028531304471994413
