features,SVM_acc,SVM_pre,SVM_rec,SVM_f1,SVM_acc_cv,SVM_acc_cv_std
"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11]",0.7416666666666667,0.7396898090618779,0.7416666666666667,0.7404418330669428,0.7224348103273737,0.029149741931717973
"[0, 1, 3, 4, 6, 7, 8, 9, 10, 11]",0.74,0.7373775424485363,0.74,0.7382969465526691,0.7266183370774947,0.030543081891161828
"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11]",0.7383333333333333,0.7358538120032372,0.7383333333333333,0.7368214248772093,0.7258009552343679,0.02928153785317942
"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11]",0.7383333333333333,0.7358106297558743,0.7383333333333333,0.7367433691853567,0.7185623556188543,0.03191865409868255
"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11]",0.74,0.7369021581001495,0.74,0.7380830138544076,0.7201385983283399,0.028689920762710742
"[0, 1, 3, 4, 5, 6, 8, 9, 10, 11]",0.7433333333333333,0.740310705554608,0.7433333333333333,0.7414517572748306,0.7238552368664739,0.029109725424957367
"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]",0.7416666666666667,0.7390195785733311,0.7416666666666667,0.7399512062714448,0.7256647646781347,0.02933484239002178
"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11]",0.7366666666666667,0.7344760374115942,0.7366666666666667,0.7352839263122105,0.7218899193850641,0.028301592707725483
"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11]",0.7366666666666667,0.7337259726802611,0.7366666666666667,0.7347397366758792,0.726190162509474,0.030363654423960013
"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11]",0.735,0.7323955439856896,0.735,0.7333708964081614,0.7251589356738696,0.029293330769076562
