0,1,2,3,4,5,6,7,8
0.73,0.25,0.0,0.27,0.63,0.08,0.0,0.08,0.91
0.73,0.25,0.0,0.28,0.61,0.1,0.0,0.11,0.87
0.72,0.26,0.0,0.27,0.61,0.1,0.0,0.11,0.87
0.73,0.25,0.0,0.27,0.61,0.1,0.0,0.11,0.87
0.72,0.26,0.0,0.27,0.62,0.1,0.0,0.11,0.87
0.73,0.25,0.0,0.27,0.61,0.1,0.0,0.11,0.87
0.73,0.25,0.0,0.27,0.61,0.1,0.0,0.11,0.87
0.72,0.26,0.0,0.28,0.61,0.1,0.0,0.11,0.87
0.73,0.25,0.0,0.27,0.62,0.1,0.01,0.11,0.87
0.73,0.26,0.0,0.27,0.62,0.1,0.0,0.11,0.88
0.72,0.26,0.0,0.27,0.62,0.1,0.0,0.11,0.87
0.73,0.25,0.0,0.27,0.61,0.1,0.01,0.1,0.88
0.73,0.25,0.0,0.27,0.61,0.1,0.01,0.11,0.87
0.71,0.27,0.0,0.27,0.62,0.09,0.01,0.09,0.89
0.72,0.26,0.0,0.28,0.62,0.09,0.0,0.08,0.9
0.72,0.26,0.0,0.27,0.61,0.1,0.01,0.11,0.87
0.7,0.28,0.0,0.27,0.62,0.1,0.0,0.16,0.82
0.71,0.27,0.0,0.27,0.63,0.09,0.0,0.09,0.89
0.72,0.26,0.0,0.28,0.59,0.12,0.0,0.15,0.83
0.71,0.27,0.0,0.27,0.62,0.09,0.01,0.09,0.89
0.72,0.26,0.0,0.28,0.62,0.09,0.0,0.08,0.9
0.72,0.26,0.0,0.27,0.61,0.1,0.01,0.11,0.87
0.7,0.28,0.0,0.27,0.62,0.1,0.0,0.16,0.82
0.71,0.27,0.0,0.27,0.63,0.09,0.0,0.09,0.89
0.72,0.26,0.0,0.28,0.59,0.12,0.0,0.15,0.83
