0,1,2,3,4,5,6,7,8
0.72,0.27,0.0,0.28,0.62,0.08,0.01,0.06,0.91
0.72,0.26,0.0,0.28,0.6,0.11,0.01,0.09,0.88
0.72,0.27,0.0,0.28,0.59,0.11,0.0,0.11,0.87
0.72,0.26,0.0,0.28,0.6,0.1,0.01,0.1,0.88
0.72,0.27,0.0,0.28,0.6,0.11,0.0,0.11,0.87
0.72,0.26,0.0,0.28,0.59,0.11,0.01,0.11,0.87
0.72,0.26,0.0,0.29,0.6,0.1,0.01,0.1,0.88
0.72,0.27,0.0,0.28,0.6,0.11,0.01,0.1,0.88
0.73,0.26,0.0,0.28,0.6,0.1,0.01,0.1,0.88
0.72,0.27,0.0,0.28,0.6,0.11,0.0,0.11,0.88
0.72,0.27,0.0,0.28,0.59,0.11,0.0,0.11,0.87
0.72,0.26,0.0,0.28,0.6,0.1,0.01,0.1,0.88
0.72,0.26,0.0,0.28,0.6,0.1,0.01,0.1,0.88
0.71,0.27,0.0,0.28,0.61,0.09,0.01,0.08,0.9
0.72,0.27,0.0,0.29,0.61,0.09,0.01,0.07,0.91
0.72,0.26,0.0,0.29,0.59,0.1,0.01,0.1,0.88
0.72,0.27,0.0,0.29,0.58,0.12,0.01,0.13,0.85
0.72,0.27,0.0,0.29,0.6,0.09,0.01,0.07,0.9
0.72,0.26,0.0,0.28,0.56,0.14,0.0,0.11,0.87
0.71,0.27,0.0,0.28,0.61,0.09,0.01,0.08,0.9
0.72,0.27,0.0,0.29,0.61,0.09,0.01,0.07,0.91
0.72,0.26,0.0,0.29,0.59,0.1,0.01,0.1,0.88
0.72,0.27,0.0,0.29,0.58,0.12,0.01,0.13,0.85
0.72,0.27,0.0,0.29,0.6,0.09,0.01,0.07,0.9
0.72,0.26,0.0,0.28,0.56,0.14,0.0,0.11,0.87
